Hugo_Symbol,Score
AADACL3,0.37041903
AADACL4,0.208471
ABCA4,0.81624174
ABCB10,0.9884235
ABCD3,0.9740732
ABL2,0.8361175
ACADM,0.9999443
ACAP3,0.57281834
ACBD3,0.83797187
ACBD6,0.071015604
ACOT11,0.24244355
ACOT7,0.59982497
ACP6,0.90537685
ACTA1,0.9482802
ACTL8,0.93198895
ACTN2,0.99109405
ACTRT2,0.9819872
ADAM15,0.9997534
ADAM30,0.1903017
ADAMTS4,0.87988174
ADAMTSL4,0.8238716
ADAR,0.86755466
ADCK3,0.7038928
ADCY10,0.9980388
ADIPOR1,0.55318254
ADORA1,0.56852037
ADORA3,0.5704827
ADPRHL2,0.3485752
ADSS,0.88216525
AGL,0.9618683
AGMAT,0.976927
AGRN,0.995961
AGT,0.23711872
AHCTF1,0.97625434
AHCYL1,0.8370582
AHDC1,0.9759137
AIDA,0.69226986
AIM1L,0.9913628
AIM2,0.56150687
AJAP1,0.9592064
AK2,0.6926723
AK5,0.86846226
AKNAD1,0.97857165
AKR1A1,0.6001667
AKR7A2,0.6812455
AKR7A3,0.13794419
AKT3,0.90714455
ALDH4A1,0.97343653
ALDH9A1,0.7372683
ALPL,0.71564215
AMIGO1,0.36107996
AMPD1,0.97993124
AMPD2,0.99905914
AMY2A,0.30204362
AMY2B,0.9773237
ANGEL2,0.48319408
ANGPTL1,0.33709493
ANGPTL3,0.68497956
ANGPTL7,0.2608147
ANKRD13C,0.31663123
ANKRD34A,0.79343325
ANKRD35,0.7249079
ANKRD45,0.12201333
ANP32E,0.8667631
ANXA9,0.8204531
AP4B1,0.12419558
APCS,0.6129611
APH1A,0.8619229
APOBEC4,0.62502927
AQP10,0.9125933
ARF1,0.78361535
ARHGAP29,0.79891413
ARHGAP30,0.6606487
ARHGEF10L,0.7681507
ARHGEF11,0.9848348
ARHGEF16,0.36003268
ARHGEF19,0.99861443
ARHGEF2,0.88201004
ARID1A,0.99905354
ARID4B,0.8976444
ARL8A,0.7758725
ARNT,0.78726983
ASAP3,0.9737074
ASB17,0.652668
ASH1L,0.91734236
ASPM,0.99874675
ASTN1,0.9983734
ATAD3A,0.57698846
ATAD3B,0.59231836
ATAD3C,0.84355265
ATF6,0.83214605
ATG4C,0.82948464
ATP13A2,0.8246443
ATP1A1,0.98591125
ATP1A2,0.99881387
ATP1A4,0.93990123
ATP1B1,0.98532724
ATP2B4,0.8250194
ATP5F1,0.780552
ATP6V0B,0.17326485
ATP6V1G3,0.46988073
ATP8B2,0.9229993
ATPAF1,0.37216973
ATPIF1,0.0013767547
ATXN7L2,0.57716924
AURKAIP1,0.4567772
AVPR1B,0.8449894
AXDND1,0.6443253
B3GALNT2,0.4071723
B3GALT2,0.3369459
B3GALT6,0.022277426
B4GALT2,0.2576302
B4GALT3,0.9800862
BAI2,0.97151554
BARHL2,0.52260953
BATF3,0.32194847
BCAN,0.74832195
BCAR3,0.9891339
BCAS2,0.45343202
BCL10,0.9580607
BCL9,0.8501731
BEND5,0.74578947
BEST4,0.7499549
BLZF1,0.974108
BMP8A,0.07242351
BOLA1,0.75375605
BPNT1,0.6022291
BRDT,0.72798187
BROX,0.9744124
BSDC1,0.99839944
BSND,0.9306234
BTBD8,0.99879706
BTF3L4,0.6332059
BTG2,0.9976373
C1QA,0.3609945
C1QB,0.57089657
C1QC,0.036283795
C1orf101,0.92131096
C1orf105,0.3060003
C1orf106,0.44278863
C1orf110,0.38484734
C1orf112,0.7387556
CCDC181,0.6325314
C1orf116,0.68084574
C1orf127,0.9158494
C1orf131,0.8139322
C1orf141,0.0628111
C1orf158,0.1503242
C1orf168,0.7713466
C1orf177,0.3110031
C1orf186,0.12941071
C1orf189,0.42391682
C1orf198,0.9145453
C1orf210,0.7703995
C1orf216,0.43452618
C1orf226,0.859772
C1orf27,0.4512752
C1orf35,0.825289
C1orf43,0.19777463
C1orf50,0.79652804
C1orf52,0.82269895
C1orf54,0.25171277
C1orf56,0.010085592
C1orf61,0.11915326
C1orf64,0.4043326
C1orf74,0.08097848
C1orf87,0.21958616
C1orf94,0.96265924
C1orf95,0.15260042
C4BPA,0.5319973
C4BPB,0.6861869
C8A,0.6300184
C8B,0.98286325
CA14,0.66112274
CA6,0.105649404
CACHD1,0.9809778
CACNA1S,0.8194806
CADM3,0.4588644
CALML6,0.015637703
CAMK1G,0.642514
CAMK2N1,0.12831208
CAMSAP2,0.77929986
CAMTA1,0.9996419
CAPN2,0.9897064
CAPN9,0.9995308
CAPZA1,0.99104416
CASP9,0.72349477
CASQ1,0.26695117
CASQ2,0.98046964
CASZ1,0.9817178
CATSPER4,0.05931527
CC2D1B,0.9914335
CCBL2,0.39449576
CCDC163P,0.00749456
CCDC17,0.99785125
CCDC18,0.9999231
CCDC24,0.80271995
CCDC27,0.9084236
CCDC28B,0.557682
CCDC30,0.6316451
CCNL2,0.28953987
