Hugo_Symbol,Score
ABCA4,0.61865044
ABCB10,0.7318244
ABCD3,0.73199433
ABL2,0.99946946
ACADM,0.8426908
ACBD6,0.56709296
ACOT7,0.48030576
ACP6,0.9674675
ACTA1,0.9508711
ACTL8,0.86475664
ACTN2,0.73124367
ACTRT2,0.8946051
ADAM15,0.73337275
ADAM30,0.45269033
ADAMTS4,0.86856204
ADAMTSL4,0.96921194
ADAR,0.9999733
ADCY10,0.8538283
ADORA1,0.24289165
ADORA3,0.9466378
ADPRHL2,0.2455695
ADSS,0.65446293
AGBL4,0.7645147
AGL,0.99245536
AGRN,0.67456967
AGT,0.057912983
AHCTF1,0.98220867
AHCYL1,0.9210803
AIM2,0.32694378
AJAP1,0.9397678
AK2,0.57526535
AK5,0.55987877
AKNAD1,0.9104633
AKR1A1,0.32094982
AKR7A2,0.5630182
AKR7A3,0.11056623
AKR7L,0.0056795967
ALDH9A1,0.78495824
ALPL,0.6507503
AMIGO1,0.94967073
AMPD1,0.8965465
AMPD2,0.6737299
AMY2B,0.90173066
ANGPTL1,0.22426589
ANKRD13C,0.45215496
ANKRD35,0.84764624
AP4B1,0.42711186
APCS,0.7214146
APH1A,0.00018803122
APITD1,0.33318153
APOA2,0.7905486
APOBEC4,0.09925071
ARHGAP29,0.2510185
ARHGAP30,0.6070731
ARHGEF10L,0.9496592
ARHGEF11,0.98420227
ARHGEF19,0.5789786
ARHGEF2,0.794644
ARID1A,0.9999864
ARID4B,0.9347603
ARNT,0.994926
ASAP3,0.45417926
ASB17,0.49125046
ASH1L,1.0
ASPM,0.9959799
ASTN1,0.9726983
ATAD3A,0.6552263
ATAD3C,6.162192e-05
ATF3,0.5125449
ATF6,0.5845122
ATG4C,0.4104299
ATP13A2,0.78491014
ATP1A1,0.9215496
ATP1A2,0.9784856
ATP1A4,0.91792315
ATP1B1,0.9387775
ATP2B4,0.9182423
ATP6V0B,0.30708003
ATP6V1G3,0.5066123
ATP8B2,0.91177094
ATXN7L2,0.55284536
AVPR1B,0.98499054
AXDND1,0.709227
B3GALNT2,0.7767986
B3GALT2,0.46458012
B4GALT2,0.40313852
BAI2,0.8506032
BARHL2,0.8420359
BCAN,0.56924325
BCL2L15,0.33216795
BCL9,0.9999411
BEST4,0.5147952
BMP8A,0.21797307
BOLA1,0.32654876
BRDT,0.62497663
BSDC1,0.98830205
BSND,0.29941252
BTF3L4,0.632067
BTG2,0.977994
C1orf100,0.11322772
C1orf101,0.74801826
C1orf109,0.9494692
