Hugo_Symbol,Score
AADACL4,0.13209164
ABCD3,0.8247489
ACADM,0.70387644
ACAP3,0.35602602
ACTL8,0.87191576
ADAMTSL4,0.7119926
ADCY10,0.782312
AHCTF1,0.70762837
AHDC1,0.8868621
ARHGAP30,0.6609658
ARHGEF10L,0.80021095
ARNT,0.9998416
ATAD3B,0.35469013
ATF3,0.36732548
ATP1A4,0.778893
ATP1B1,0.8506558
ATP6V1G3,0.6416339
ATP8B2,0.6396734
BARHL2,0.8222081
BMP8A,0.975134
C1orf106,0.5237428
C1orf177,0.64420515
CACHD1,0.95555824
CACYBP,0.76215744
CAMTA1,0.55820566
CCBL2,0.6350327
CD1B,0.7576665
CD5L,0.37215722
CDC42BPA,0.98988193
CDC73,0.9992482
CDKN2C,0.9723157
CFH,0.66579664
CHD5,0.89979625
CHRM3,0.84386706
CLCA1,0.86175424
CLK2,0.9554213
CNST,0.8587051
CNTN2,0.4106549
COG2,0.54062253
COL16A1,0.3488173
COL24A1,0.83203405
COLGALT2,0.7196209
CSDE1,1.0
CTH,0.9740684
CYP4A11,0.9808786
DDI2,0.5525651
DOCK7,0.84229755
DSTYK,0.56419873
ECHDC2,0.2983248
EGLN1,0.72651315
EIF4G3,0.6641498
ELF3,0.8425005
ELTD1,0.8282546
EMC1,0.46852314
EPB41,0.89068997
EPHX1,0.5148215
EXTL2,0.21689484
EYA3,0.95234627
F11R,0.18502393
FAF1,0.9974158
FAM129A,0.7900047
FAM63A,0.35327247
FAM72A,0.40900877
FAM72B,0.9395995
FBXO28,0.8074918
FCRL3,0.381667
FLG,0.56179136
FMN2,0.8912605
FMO3,0.39055708
FMOD,0.5791196
FNDC7,0.13230143
GATAD2B,0.8858251
GBA,0.69993293
GBP1,0.9360416
GCSAML,0.9831702
GIPC2,0.93596536
GJA5,0.24237175
HFM1,0.7422685
HLX,0.51397544
HMCN1,0.99099475
HRNR,0.7631701
HSPG2,0.99457693
IGFN1,0.80601656
IL19,0.2395131
ITGA10,0.53140354
ITLN2,0.14220938
IVL,0.18215518
JUN,0.9999267
KCNT2,0.97822773
KCTD3,0.8005652
KIAA0754,0.45598185
LAMC1,0.68806285
LCE1E,0.5392733
LCE2B,0.34174728
LDLRAD2,0.5228786
LIN9,0.9794566
LMNA,0.9936652
LRP8,0.8892101
LRRC7,0.62433654
LRRN2,0.26330063
LYST,0.9433406
MCOLN2,0.5887695
MTOR,0.9992902
MTR,0.8449962
MYOM3,0.64746845
NASP,0.5899167
NID1,0.64129364
NPHP4,0.18046334
NR0B2,0.9679337
OAZ3,0.79091877
OBSCN,0.9279972
OLFM3,0.5297023
OR10X1,0.9542861
OR2L2,0.33925715
OR2W3,0.28980276
OR6Y1,0.16069624
OTUD3,0.6425023
PADI1,0.81432647
PAPPA2,0.272499
PCNXL2,0.62618625
PDPN,0.9029538
PGLYRP4,0.74575806
PLXNA2,0.6499175
PQLC2,0.81651497
PRDM2,0.95520765
PRELP,0.37502804
PRKACB,0.9834878
PRRC2C,0.8566374
PTPN14,0.8342217
RAB3GAP2,0.702973
RBBP5,0.8952439
