Hugo_Symbol,Score
AADACL4,0.95930487
ABCA4,0.6308069
ACTA1,0.99906427
ACTL8,0.8016503
ACTN2,0.5761795
ADAM15,0.652173
ADAM30,0.27639842
ADAMTSL4,0.7774969
ADAR,0.5328909
ADCK3,0.72014713
ADORA1,0.22083648
ADORA3,0.60555416
AGL,0.93838674
AGRN,0.999995
AHCYL1,0.88561964
AHDC1,0.9763925
AIM2,0.2899005
AJAP1,0.7128869
AK5,0.39175323
AKNAD1,0.8674554
AKR1A1,0.64562213
AKR7A2,0.42520094
AKT3,0.15985385
ALX3,0.6836721
AMPD1,0.9199887
AMPD2,0.9955539
ANGPTL7,0.08822372
ANKRD13C,0.5710301
ANKRD35,0.14541668
ANKRD45,0.094689675
AP4B1,0.5757528
ARF1,0.67718863
ARHGAP30,0.6685396
ARHGEF10L,0.9914579
ARHGEF11,0.9952636
ARHGEF19,0.6047748
ARHGEF2,0.9889346
ARID1A,0.9115164
ARID4B,0.88415295
ARNT,0.9938507
ASB17,0.3372205
ASH1L,0.9991035
ASPM,0.9994803
ASTN1,0.97253066
ATF6,0.27251974
ATP13A2,0.5782863
ATP1A4,0.82415974
ATP2B4,0.7995328
ATP6V0B,0.32646105
ATP8B2,0.7571801
AURKAIP1,0.15637979
AVPR1B,0.35124823
AXDND1,0.97126883
B3GALNT2,0.44923663
B3GALT2,0.8080208
B4GALT2,0.69715387
BAI2,0.73706055
BARHL2,0.064688645
BCAN,0.69143796
BCAR3,0.8051852
BCAS2,0.8494452
BCL9,0.7568395
BEST4,0.99880075
BMP8B,0.082779735
BNIPL,0.3402779
BOLA1,0.11946092
BPNT1,0.9554574
BTBD8,0.999355
C1orf106,0.5789341
C1orf110,0.18662637
CCDC181,0.13785048
C1orf116,0.47947684
C1orf127,0.9987972
C1orf131,0.0770934
C1orf146,0.14693281
C1orf159,0.27021012
C1orf174,0.1635224
C1orf177,0.5838536
C1orf194,0.2151669
C1orf216,0.9522546
C1orf53,1.0
C1orf87,0.8667091
C4BPA,0.42023128
C8B,0.20677455
CA14,0.6128417
CA6,0.36087912
CACHD1,0.9999999
CACNA1S,0.6947127
CACYBP,0.28300354
CADM3,0.67042416
CAMK1G,0.5644112
CAMTA1,0.9998982
CAPZA1,0.7458251
CASZ1,0.92362106
CCDC17,0.6384554
CCDC28B,0.36677906
