Hugo_Symbol,Score
AADACL4,0.72174287
ABCA4,0.5204122
ACTA1,0.8305851
ACTL8,0.6285415
ACTN2,0.9028644
ADAM15,0.7559215
ADAM30,0.24431142
ADAMTSL4,0.79103917
ADAR,0.7316037
ADCK3,0.8070244
ADORA1,0.15906514
ADORA3,0.51222247
AGL,0.9999931
AGRN,0.56647134
AHCYL1,0.85296637
AHDC1,0.8916071
AIM2,0.9608193
AJAP1,0.50257826
AK5,0.460843
AKNAD1,0.7759386
AKR1A1,0.5637076
AKR7A2,0.248666
AKT3,0.12240373
ALX3,0.9869688
AMPD1,0.9809475
AMPD2,0.77303475
ANGPTL7,0.15034673
ANKRD13C,0.5689063
ANKRD35,0.17153835
ANKRD45,0.10980865
AP4B1,0.2491121
ARF1,0.6870351
ARHGAP30,0.48334375
ARHGEF10L,0.9271559
ARHGEF11,0.9996768
ARHGEF19,0.5616193
ARHGEF2,0.90678585
ARID1A,0.9927724
ARID4B,0.9971084
ARNT,0.76415235
ASB17,0.039627805
ASH1L,0.99999976
ASPM,0.8749939
ASTN1,0.99796957
ATF6,0.5669083
ATP13A2,0.6804241
ATP1A4,0.437082
ATP2B4,0.9466366
ATP6V0B,0.22922306
ATP8B2,0.9815407
AURKAIP1,0.6213917
AVPR1B,0.7425651
AXDND1,0.27620915
B3GALNT2,0.85929054
B3GALT2,0.3218642
B4GALT2,0.6014583
BAI2,0.6781503
BARHL2,0.34528014
BCAN,0.73800504
BCAR3,0.6662792
BCAS2,0.96542245
BCL9,0.8866526
BEST4,0.9375715
BMP8B,0.40033883
BNIPL,0.5360582
BOLA1,0.40059245
BPNT1,0.86100763
BTBD8,0.9284822
C1orf106,0.4422906
C1orf110,0.15113558
CCDC181,0.14281318
C1orf116,0.3285841
C1orf127,0.9939243
C1orf131,0.54670566
C1orf146,0.040112834
C1orf159,0.13251257
C1orf174,0.12355924
C1orf177,0.58204156
C1orf194,0.37607542
C1orf216,0.20568219
C1orf53,0.6801926
C1orf87,0.28125915
C4BPA,0.31401962
C8B,0.9797804
CA14,0.6069484
CA6,0.03537628
CACHD1,0.7998338
