Hugo_Symbol,Score
ABCA4,0.87262386
ABCB10,0.9955812
ACBD6,0.33450392
ACTN2,0.7492863
ADAM30,0.56441265
ADAMTS4,0.71039146
ADAMTSL4,0.98304534
ADAR,0.93255365
ADORA1,0.12453227
ADSS,0.76253015
AGBL4,0.7414961
AGRN,0.9578823
AHCTF1,0.6944715
AHCYL1,0.89371
AJAP1,0.67969006
AK4,0.2989109
AK5,0.62992245
AKNAD1,0.94711864
ALPL,0.6338114
AMY2A,0.9945062
AMY2B,0.4174449
ARHGAP30,0.40293154
ARHGEF19,0.4709965
ARID1A,1.0
ASAP3,0.99956864
ASB17,0.3547774
ASH1L,0.99622786
ASPM,0.9436959
ASTN1,0.9949543
ATAD3B,0.3791478
ATP13A2,0.5547757
ATP6V1G3,0.35958284
ATP8B2,0.7561666
AXDND1,0.9865068
B3GALT2,0.32431164
B4GALT3,0.57759917
BAI2,0.9194708
BARHL2,0.45684394
BCL9,0.99856937
BEST4,0.98894274
BSND,0.15174468
C1orf101,0.543558
C1orf106,0.30837232
C1orf141,0.08666448
C1orf168,0.44958934
C1orf177,0.21211062
C1orf186,0.05289247
C1orf228,0.20196183
C4BPA,0.48606843
C8A,0.55926853
C8B,0.7082945
CA6,0.140341
CACNA1S,0.6763443
CAMSAP2,0.6106203
CAMTA1,0.8978942
CAP1,0.96944404
CAPN2,0.72606295
CASQ1,0.2602932
CASZ1,0.8997657
CCBL2,0.33532616
CCDC27,0.21425113
CD1A,0.18011484
CD1C,0.31604376
CD1D,0.26491648
CD1E,0.58435
CD5L,0.21881369
CDC14A,0.5558289
CDC42BPA,0.9960478
CDC7,0.82430476
CDK11A,0.60612625
CELSR2,0.80832356
CENPF,0.99286383
CEP104,0.93725306
CEP170,0.99798214
CEP350,0.9482072
CFH,0.8468898
CFHR1,0.11623572
CFHR2,0.1974633
CFHR3,0.5522076
CFHR4,0.081157036
CFHR5,0.49086612
CHD5,0.9971591
CHIA,0.22638337
CHIT1,0.99893445
CHML,0.30027243
CLCN6,0.53039914
CLK2,0.47369412
CLSPN,0.99693954
COL16A1,0.090644926
COL24A1,0.95820135
COLGALT2,0.51308566
COPA,0.74336433
CPSF3L,0.48628312
CR1,0.98787874
CRABP2,0.18884356
CRB1,0.61921734
CREB3L4,0.24856527
CROCC,0.9140415
CRP,0.11141453
CSDE1,0.9849358
CSF3R,0.99236965
CSMD2,0.99991786
CTSK,0.65425014
CTTNBP2NL,0.6745908
CYB5RL,0.11990892
CYP4A11,0.05749506
CYP4B1,0.36861083
DDR2,0.34827232
DDX59,0.41472226
DEGS1,0.47175795
DENND2C,0.70730245
DENND2D,0.85549384
DENND4B,0.60662574
DFFA,0.4715553
DHX9,0.9806342
DISP1,0.64335835
DLGAP3,0.30112764
DMAP1,0.988648
DMBX1,0.40220705
DMRTB1,0.8584687
DNAH14,0.9952644
DNAJC16,0.50301486
DNAJC6,0.93549645
DNM3,0.9914445
DOCK7,0.9888087
DPH2,0.42374367
DPYD,0.97306764
DRAXIN,0.46965906
DUSP27,0.515166
DVL1,0.6698914
EBNA1BP2,0.9395818
ECM1,0.6364035
EFCAB14,0.88875365
EFNA4,0.12887998
ENSA,0.21058907
EPHA10,0.7407895
EPRS,0.9959669
EPS15,0.9082781
EPS8L3,0.92234105
ESRRG,0.9552084
F13B,0.18290193
F3,0.28837475
F5,0.9978257
FAM102B,0.37562257
FAM129A,0.6333179
FAM131C,0.27427638
FAM212B,0.11226022
FAM46C,0.31720868
BRINP2,0.63286024
BRINP3,0.52103066
FAM63A,0.60765713
FAM71A,0.27142727
FAM78B,0.1528494
FAM89A,0.6054473
FASLG,0.62957674
FCGR1B,0.114658825
FCGR3B,0.1209604
