Hugo_Symbol,Score
AADACL3,0.3972635
AADACL4,0.47540092
ABCA4,0.80673707
ABCB10,0.96248686
ABCD3,0.984611
ABL2,0.82742643
ACADM,0.99921346
ACAP3,0.75021106
ACBD3,0.72674644
ACOT11,0.3730923
ACOT7,0.3235094
ACTA1,0.9978836
ACTL8,0.6621054
ACTN2,0.8361375
ACTRT2,0.60513264
ADAM15,0.96490264
ADAM30,0.652503
ADAMTS4,0.7630476
ADAMTSL4,0.9948999
ADAR,0.93196803
ADCK3,0.36848488
ADCY10,0.99822575
ADIPOR1,0.6897462
ADORA1,0.19650844
ADORA3,0.6339056
ADPRHL2,0.6567107
ADSS,0.99197596
AGBL4,0.9876865
AGL,0.9794829
AGMAT,0.7211258
AGRN,0.99760747
AGT,0.13475044
AGTRAP,0.8433634
AHCTF1,0.9970901
AHCYL1,0.8433968
AHDC1,0.9830496
AIDA,0.45241737
AIM1L,0.9384863
AIM2,0.31435946
AJAP1,0.99276555
AK4,1.5718655e-07
AK5,0.3852693
AKNAD1,0.9874222
AKR1A1,0.5173423
AKR7A2,0.65276533
AKR7A3,0.14885351
AKT3,0.2891538
ALDH4A1,0.40280914
ALDH9A1,0.7019759
ALG14,0.30644763
ALPL,0.44106266
ALX3,0.22546607
AMIGO1,0.44575432
AMPD1,0.99835914
AMPD2,0.9645647
AMY2A,0.7247307
AMY2B,0.78753006
ANGEL2,0.7359422
ANGPTL3,0.08105103
ANGPTL7,0.17513302
ANKRD13C,0.8677964
ANKRD34A,0.54234064
ANKRD35,0.8276618
ANKRD45,0.4661898
ANP32E,0.7624481
ANXA9,0.1928761
AP4B1,0.35957208
APH1A,0.79765075
APOA1BP,0.43096358
AQP10,0.89781684
ARF1,0.630355
ARHGAP29,0.9667754
ARHGAP30,0.9877307
ARHGEF10L,0.7997599
ARHGEF11,0.99161196
ARHGEF19,0.9854806
ARHGEF2,0.9906741
ARID1A,0.99999845
ARID4B,0.87451565
ARL8A,0.028708406
ARNT,0.986239
ARV1,0.1417399
ASAP3,0.8430011
ASB17,0.11004813
ASH1L,0.9863645
ASPM,0.99816173
ASTN1,0.970469
ATAD3A,0.51260805
ATAD3B,0.4724528
ATAD3C,0.5015139
ATF3,0.73071665
ATF6,0.7321299
ATG4C,0.9955967
ATP13A2,0.8330185
ATP1A1,0.9990767
ATP1A2,0.99909735
ATP1A4,0.9818547
ATP1B1,0.9646811
ATP2B4,0.9479149
ATP6V0B,0.15091036
ATP8B2,0.8741791
ATPAF1,0.29118803
ATPIF1,0.0072472305
ATXN7L2,0.5136125
AVPR1B,0.61431473
AXDND1,0.3486585
B3GALNT2,0.5660761
B3GALT2,0.40146863
B4GALT2,0.21417315
BAI2,0.7660713
BARHL2,0.63828266
BCAN,0.68617314
BCAR3,0.9576522
BCAS2,0.5395456
BCL10,0.7582959
BCL9,0.9784647
BEND5,0.8399699
BEST4,0.84394395
BLZF1,0.98110723
BMP8B,0.1411535
BNIPL,0.998874
BPNT1,0.6625325
BRDT,0.18291657
BROX,0.816062
BSND,0.04781525
BTBD8,0.9999542
BTG2,0.9832811
C1QC,0.029455107
C1orf100,0.11068686
C1orf101,0.7240912
C1orf106,0.64936966
C1orf109,0.43982977
C1orf111,0.31646138
C1orf112,0.75512016
C1orf115,0.25202727
C1orf116,0.70476997
