Hugo_Symbol,Score
ABCA4,0.3469095
ABL2,0.9995915
ACOT7,0.47131357
ACTA1,0.8577502
ADAM15,0.5112744
ADAMTSL4,0.7820924
ADAR,0.9411451
AGL,0.7725499
AGRN,0.4612519
AJAP1,0.9884865
AKT3,0.16081381
ALX3,0.40323728
AMPD2,0.9639981
AMY2A,0.042257518
ANGPTL1,0.22654127
ANGPTL7,0.41358918
ANKRD35,0.45966467
ARHGAP30,0.48804215
ARHGEF10L,0.7679015
ARHGEF2,0.8333325
ASH1L,0.8809283
ATAD3A,0.6307851
ATP1A1,0.9180975
ATP1A2,0.9930736
ATP1A4,0.7386912
ATP2B4,0.829473
ATP8B2,0.6099512
ATPAF1,0.35565266
ATXN7L2,0.47935364
BAI2,0.68481714
BCAN,0.19713573
BCAR3,0.6719907
BCL9,0.699156
BRDT,0.25290933
C1orf101,0.5224411
C1orf112,0.99768126
C1orf127,0.31612772
C1orf141,0.036167398
C1orf210,0.80701655
C4BPA,0.1393864
CACHD1,0.61924285
CACNA1S,0.32288858
CAPN9,0.6042124
CASZ1,0.927005
CATSPER4,0.33101073
CCBL2,0.0023863
CCDC24,0.30795953
CCDC27,0.62723404
CCDC30,0.2642005
CD101,0.21841271
CD160,0.07850521
CD5L,0.113776594
CD84,0.20950058
CDC42,0.8568876
CDC7,0.6646546
CDK11A,0.57649076
CDKN2C,0.6949817
CELSR2,0.7774717
CENPF,0.6882987
CEP350,0.93955415
CFHR5,0.7323523
CGN,0.5608311
CHD5,0.9933477
CLCA4,0.06713356
CLSTN1,0.9293208
CNKSR1,0.31590205
CNR2,0.35949093
CNST,0.31624174
COL16A1,0.5286107
COL8A2,0.6571727
COL9A2,0.5683458
COX20,0.8049145
CR1,0.90644103
CRB1,0.1635709
CRP,0.05425564
CRTC2,0.34866783
CSDE1,0.7709012
CSF3R,0.6835324
CSMD2,0.9828098
CTBS,0.13911313
CTSS,0.22385038
DAB1,0.6442897
DAP3,0.56003433
DBT,0.22944951
DCLRE1B,0.97158676
DCST2,0.59407485
DEGS1,0.50792795
DENND4B,0.3219123
DHCR24,0.32800204
DIO1,0.15292536
DISC1,0.8203873
DISP1,0.52039653
DLGAP3,0.27547213
DMRTB1,0.14350872
DNAJC11,0.5288227
DNAJC16,0.25457588
DNALI1,0.2771028
DOCK7,0.9979056
DSTYK,0.447683
DUSP27,0.21031855
ECHDC2,0.3143007
EDEM3,0.9349044
EFCAB14,0.37525257
EFCAB7,0.9682841
AGO1,0.72580516
ELOVL1,0.22848763
ELTD1,0.9731501
EPRS,0.9999987
ESPN,0.29514378
EXOSC10,0.9283226
EYA3,0.95690924
FAM131C,0.223796
FCGR2B,0.48236373
FCRL2,0.8603617
FCRL5,0.19233109
FGGY,0.30387214
FGR,0.512558
FH,0.8191414
FHL3,0.8398157
FLG,0.5636578
FLG2,0.61686486
FMO3,0.9539156
FNDC7,0.18178302
FOXD2,0.9793744
FPGT-TNNI3K,0.96238834
FRRS1,0.45859873
GBP2,0.39936242
GBP5,0.39348373
GFI1,0.72566766
GNG5,0.76457465
GNPAT,0.7413876
GPR89A,0.1216217
GRHL3,0.59882015
GUCA2B,0.054860085
HEATR1,0.91814864
HEYL,0.52089226
HFM1,0.201857
