Hugo_Symbol,Score
ACTRT2,0.666855
ADAM15,0.7451736
ADAM30,0.3637644
ADAMTSL4,0.92984575
ADORA1,0.986356
AK5,0.48775148
ANGPTL1,0.864668
ARHGEF16,0.47085837
ASTN1,0.96688634
ATP13A2,0.72088027
ATP1A2,0.5705517
BCAR3,0.53633827
BLZF1,0.8371526
C1orf127,0.40788388
CD46,0.99998903
CHD5,0.9582081
CLSTN1,0.98727673
CNR2,0.33644602
CNST,0.7234726
CSF3R,0.6185335
CSMD2,0.8020444
CYB5RL,0.45604318
DCAF6,0.6216055
DCST1,0.5111072
DMAP1,0.90341264
DNAJC8,0.92780584
DNM3,0.95499814
DSTYK,0.48539743
ECM1,0.72621423
EPS15,0.8592312
EXOSC10,0.9029482
FAM46C,0.21225293
FAM78B,0.56291395
FGGY,0.99464166
FMN2,0.97889954
FMOD,0.72816443
GPR52,0.7709838
GRIK3,0.73781794
H6PD,0.30195624
HES3,0.5040539
HIST3H2A,0.7623882
HMCN1,0.9982058
HNRNPR,0.9041161
HRNR,0.7191414
HSPG2,0.89573133
IFI44L,0.22706473
INTS3,0.7045717
INTS7,0.99615127
ITPKB,0.8769283
KCNT2,0.9297969
KIAA0754,0.36998877
LDLRAP1,0.7004299
LIN9,0.8923363
LINGO4,0.84182835
LPPR4,0.1368961
LRRC42,0.33710334
LRRC7,0.6665345
LUZP1,0.9477771
MAEL,0.6182565
MIIP,0.9985532
MROH9,0.71382076
MRPS15,0.76357895
MSH4,0.56753653
MTOR,0.9965732
NBPF9,0.96327114
NES,0.6231022
NFIA,0.7111126
NGF,0.3960584
NOC2L,0.7019907
NPHS2,0.63058925
NPR1,0.3615293
NRAS,0.99778616
NRD1,0.7436736
NSUN4,0.54918236
OBSCN,0.90104496
OPRD1,0.802974
OR10Z1,0.40652576
OR14A16,0.53528583
OR14I1,0.35241413
OR2T1,0.3025137
OR2T8,0.11132694
OVGP1,0.46129337
PABPC4,0.9979183
PADI3,0.66519237
PAX7,0.60407
PEX10,0.221474
PHACTR4,0.9390312
PIK3C2B,0.69493896
PKLR,0.93173885
PPAP2B,0.13391423
PPP1R12B,0.91682506
PPP1R8,0.94045675
PQLC2,0.33637685
PRAMEF2,0.9647463
PRG4,0.9097458
PROX1,0.31073952
PSMA5,0.9286824
PTPN14,0.84243387
RAB3GAP2,0.7402678
RAD54L,0.6218093
RASAL2,0.7763992
RGS1,0.6914371
ROR1,0.79656786
RPL11,0.9930877
RPRD2,0.809147
RYR2,0.9999976
S100PBP,0.29000938
SCMH1,0.40086687
SCNN1D,0.70674
SDCCAG8,0.041722447
SDF4,0.7389869
SFPQ,0.91529477
SIPA1L2,0.5435837
SLC27A3,0.71781343
SLC30A10,0.13586164
SLC45A1,0.68260056
SNX7,0.85355926
SPOCD1,0.95958394
SPTA1,0.8507164
STIL,0.9996797
SWT1,0.9093145
SYTL1,0.73092186
TAS1R1,0.483796
TBCE,0.75213706
TM2D1,0.25968027
TNN,0.63650244
TNR,0.8541242
TP53BP2,0.9534259
TP73,0.9930322
TPM3,0.8678853
UBR4,0.9270499
UHMK1,0.88684523
USH2A,0.9999132
VWA5B1,0.10795605
DCAF8,0.9249664
WNT9A,0.12169933
ZNF672,0.5001924
ZNF692,0.99802506
ZP4,0.04676299
ABCA7,0.7343539
ADCK4,0.4911423
ALDH16A1,0.95540065
AMH,0.22205247
ANGPTL6,0.6833501
AP1M1,0.9198125
ARHGAP33,0.48165965
ATP8B3,0.28975275
AXL,0.9469478
CAMSAP3,0.79018074
CCL25,0.16708764
CD97,0.28035745
CDC34,0.8014886
CDKN2D,0.76179785
CEACAM1,0.31836346
CLDND2,0.27011645
CLPTM1,0.5711676
DMKN,0.21634085
DMPK,0.33386153
DNM2,0.77277786
DOCK6,0.9997838
DOT1L,0.91092926
DUS3L,0.69934493
EMP3,0.27331564
ERCC1,0.412436
EVI5L,0.8532567
FAM71E2,0.13955417
FBN3,0.6200896
FZR1,0.98164016
GMIP,0.31489673
GP6,0.2163151
GYS1,0.38144156
HAS1,0.728327
IGFLR1,0.2516967
IRF3,0.7276416
IZUMO1,0.14141527
KIRREL2,0.5915475
KLK14,0.10950666
LDLR,0.68003076
MED25,0.5737324
MED29,0.5956844
MEGF8,0.999057
MUC16,0.999992
MYH14,0.79014504
MYO9B,0.5823568
NCAN,0.40490937
NLRP12,0.5865217
NLRP5,0.96653193
NPHS1,0.42204624
ONECUT3,0.99447745
OR1I1,0.174911
OR7C2,0.0783898
PIAS4,0.850794
PINLYP,0.6908534
PLA2G4C,0.49356583
PPP2R1A,0.999882
PRX,0.9687769
PSPN,0.13537088
PVR,0.655124
RABAC1,0.8558377
RASAL3,0.40084335
RAX2,0.3189288
RBM42,0.45020217
RLN3,0.19467628
RYR1,0.92970407
SAFB2,0.72353834
SARS2,0.5131184
SBSN,0.13913332
SCGB2B2,0.2736805
SELV,0.18728518
SIGLEC8,0.7571082
SMARCA4,0.9999999
SNRPD2,0.77860415
SSC5D,0.4395764
STAP2,0.37368727
TEAD2,0.99941003
TMEM59L,0.34505227
TNFAIP8L1,0.96733063
URI1,0.99999297
WDR18,0.523354
WDR62,0.6932481
XAB2,0.9945426
ZC3H4,0.9842896
ZNF112,0.5754163
ZIM3,0.61601174
ZNF177,0.6786257
ZNF420,0.9866354
ZNF431,0.97264796
ZNF492,0.11759493
ZNF544,0.41635448
ZNF569,0.42399135
ZNF614,0.9730377
ZNF615,0.9980844
ZNF676,0.18746732
ZNF724P,0.4603417
ZNF776,0.23730575
ZNF790,0.5287668
ZNF791,0.21642494
ZNF814,0.42230195
ZNF837,0.3662416
ABTB2,0.8572891
ACP2,0.87632537
ALG9,0.5395982
ATG13,0.9103041
BSCL2,0.9994079
COLCA2,0.18238743
C1QTNF5,0.6487607
C2CD3,0.38726228
CAPRIN1,0.90000093
CARD17,0.370686
CATSPER1,0.86221224
CD3E,0.80521506
CDC42BPG,0.6198473
CHEK1,0.82792836
CHRM1,0.9999994
CST6,0.21971808
CTSC,0.52709204
CTSF,0.76663464
DAGLA,0.8567085
DBX1,0.99281865
DNHD1,0.9999994
EED,0.9999975
EPS8L2,0.7301353
FADS1,0.3281943
FAM111B,0.77755183
FGF3,0.29671565
GAS2,0.30739447
GPR83,0.3137086
GRIA4,0.70499325
GTF2H1,0.8278711
HRAS,0.99965644
IGF2,0.73477465
IGSF9B,0.89842695
KCNC1,0.78877836
