Hugo_Symbol,Score
A3GALT2,0.00012947431
AADACL4,0.018855846
ABCA4,0.998825
ABCB10,0.85265315
ABCD3,0.9941142
ABL2,0.9538902
ACADM,0.9644243
ACAP3,0.16896212
ACBD3,0.9981804
ACOT11,0.5854289
ACOT7,0.25689143
ACP6,0.3652745
ACTA1,0.8776359
ACTL8,0.41952428
ACTN2,0.8196793
ACTRT2,0.9823093
ADAM15,0.7898679
ADAM30,0.8729166
ADAMTS4,0.841861
ADAMTSL4,0.99981254
ADAR,0.808174
ADCK3,0.7827192
ADCY10,0.99476916
ADIPOR1,0.6761207
ADORA1,0.79760045
ADORA3,0.08345135
ADPRHL2,0.0041444264
ADSS,0.9435404
AGBL4,0.97245336
AGL,0.99791664
AGMAT,0.3839452
AGRN,0.62552816
AGT,0.8081564
AGTRAP,0.7722866
AHCTF1,0.99786866
AHCYL1,0.99837565
AHDC1,0.9995234
AIDA,0.9055579
AIM1L,0.9820431
AIM2,0.13031863
AJAP1,0.5776096
AK2,0.75297594
AK4,0.06478624
AK5,0.3746766
AKNAD1,0.99982125
AKR7A2,0.114698134
AKR7A3,0.032663442
AKR7L,0.53817487
AKT3,0.9271028
ALDH4A1,0.3541646
ALDH9A1,0.66155267
ALG14,0.99958163
ALG6,0.99951077
ALPL,0.4476235
AMIGO1,0.82020956
AMPD1,0.99859804
AMPD2,0.9636966
AMY2A,0.98334414
AMY2B,0.91339326
ANGEL2,0.78207874
ANGPTL1,0.5035659
ANGPTL3,0.9358597
ANGPTL7,0.15097004
ANKRD13C,0.9356296
ANKRD34A,0.30763993
ANKRD35,0.69025385
ANKRD45,0.82578367
ANKRD65,0.0029435768
ANP32E,0.94176394
ANXA9,0.7503125
AP4B1,0.42303193
APCS,0.57717794
APH1A,0.9868912
APOA1BP,0.8481657
APOA2,0.43804988
AQP10,0.49701428
ARF1,0.93551004
ARHGAP29,0.9791976
ARHGAP30,0.90762097
ARHGEF10L,0.8284185
ARHGEF11,0.9869148
ARHGEF16,0.74815047
ARHGEF19,0.50464636
ARHGEF2,0.84205216
ARID1A,1.0
ARID4B,0.9999999
ARL8A,0.9924166
ARNT,0.99724126
ARV1,0.6720336
ASAP3,0.62656486
ASB17,0.9402432
ASH1L,0.9999968
ASPM,0.9999988
ASTN1,0.9235982
ATAD3A,0.59253526
ATAD3B,0.33209118
ATAD3C,0.12878926
ATF3,0.9008443
ATF6,0.9737422
ATG4C,0.9996722
ATP13A2,0.84386754
ATP1A1,0.994055
ATP1A2,0.9882648
ATP1A4,0.9951515
ATP1B1,0.88741225
ATP2B4,0.88307774
ATP5F1,0.9558485
ATP6V0B,0.13052486
ATP6V1G3,0.36749434
ATP8B2,0.8283111
ATPAF1,0.30125636
ATXN7L2,0.71558833
AUNIP,0.03819533
AVPR1B,0.8822268
AXDND1,0.9654298
B3GALNT2,0.89413345
B3GALT2,0.73204005
B4GALT2,0.24450462
B4GALT3,0.74688363
BAI2,0.99034446
BARHL2,0.32252985
BATF3,0.373292
BCAN,0.8708576
BCAR3,0.9513876
BCAS2,0.8464034
BCL9,0.994989
BEND5,0.99559844
BEST4,0.7346594
BGLAP,0.96003324
BLZF1,0.9492996
BMP8B,0.064246655
BNIPL,0.933059
BOLA1,0.21394786
BPNT1,0.8823768
BRDT,0.999298
BROX,0.8682049
BSDC1,0.8793242
BSND,0.04984027
BTBD19,0.055205677
BTBD8,0.6336418
BTF3L4,0.96670884
C1QA,0.07274659
C1QB,0.07310605
C1QC,0.13582852
C1orf100,0.98205596
C1orf101,0.99241817
C1orf105,0.0043016253
C1orf106,0.77130544
C1orf109,0.22475287
C1orf110,0.7970913
C1orf111,0.017654734
C1orf112,0.900847
CCDC181,0.99313027
C1orf116,0.77353907
C1orf127,0.49807173
C1orf131,0.86324036
C1orf141,0.58548635
C1orf146,0.18795004
C1orf159,0.17678979
C1orf162,0.0007723682
C1orf167,0.07234082
C1orf168,0.9975235
C1orf174,0.05505957
C1orf177,0.19656716
C1orf185,0.07759699
C1orf186,0.0070455144
C1orf189,0.87798226
C1orf194,0.35727644
C1orf198,0.10010042
C1orf210,0.005570324
C1orf216,0.581623
C1orf226,0.95393384
