Hugo_Symbol,Score
AADACL4,0.43515268
ADAMTS4,0.36134362
ADIPOR1,0.45764694
AGRN,0.7277506
AHCTF1,0.9754402
AIM1L,0.88477945
ALPL,0.34332854
ARHGEF19,0.7238595
ASPM,0.7929343
ATAD3A,0.6996139
ATP1A2,0.9770662
C1orf116,0.41081393
C1orf127,0.76192
C1orf94,0.9805399
CACHD1,0.9999937
CADM3,0.14700386
CD160,0.12164496
CENPF,0.65831333
CHML,0.4606779
CNTN2,0.20204875
COG2,0.78771013
COL9A2,0.94897366
DHRS3,0.80756116
DLGAP3,0.3382866
DNAJC8,0.41562247
DR1,0.46913654
ELTD1,0.92180824
ESRRG,0.85517585
EYA3,0.361874
F5,0.6516054
FAM71A,0.9976419
FCGR2A,0.22921376
FCRL1,0.047194857
FMO2,0.35733098
FMO3,0.3829458
GABRD,0.3390336
GALNT2,0.93659717
GNB1,0.9978002
GPA33,0.48403493
GPATCH3,0.9716491
GRHL3,0.7856577
GRIK3,0.24504149
HHAT,0.43262145
HIVEP3,0.8323235
HSD17B7,0.47151297
HSPG2,0.8863078
IL12RB2,0.3533241
IL24,0.43597528
ITPKB,0.9106207
IVL,0.12601069
JAK1,0.9964706
LCE3D,0.10742061
LRRIQ3,0.9991722
LUZP1,0.75156116
MACF1,0.82977724
MAPKAPK2,0.91309196
MTOR,0.99955803
NCF2,0.4573344
NLRP3,0.9738322
NME7,0.60272044
OBSCN,0.93724906
OR2L2,0.3245194
PADI2,0.99968386
PANK4,0.8548064
PAPPA2,0.29150814
PAX7,0.13579579
PDE4DIP,0.7435792
PLD5,0.26935595
PPM1J,0.26109728
PRDM2,0.41736323
PTBP2,0.58994293
PTCH2,0.5690918
PTPRU,0.99411064
RERE,0.85617375
RPS6KC1,0.8331146
RRNAD1,0.3041378
RTCA,0.9902714
RXRG,0.7726839
RYR2,0.9974662
SELE,0.52368146
SEMA4A,0.5458727
SLC26A9,0.3343013
SLC30A1,0.6257765
SLC35F3,0.15609334
SPTA1,0.9799983
SRSF4,0.7203067
ST3GAL3,0.31845176
TCHH,0.94971216
THBS3,0.7303654
TNFRSF8,0.59292424
TRIM63,0.77839667
TRIM67,0.89184725
UBE2J2,0.76879513
VASH2,0.9767327
VAV3,0.89644665
ZBTB7B,0.57951933
ZBTB8A,0.6308911
ZNF281,0.76093733
ZSCAN20,0.8653269
ABHD8,0.56044215
ADAMTS10,0.8908183
ANKRD27,0.08498429
AP3D1,0.32479265
C3,0.86249983
CACNA1A,0.9363404
CASP14,0.89830565
CCDC8,0.9999995
CLEC4M,0.9984048
CPAMD8,0.6710181
CYP2A13,0.22933465
FAM187B,0.20485923
FBXO46,0.7415627
FCGRT,0.22605829
GLTSCR1,0.56588113
GNA11,1.0
GPR4,0.26728135
GRIN3B,0.22009964
HSD11B1L,0.14525856
ILVBL,0.37233543
KIR2DL1,0.1987884
KIR2DL4,0.41638607
KIR3DL2,0.50445443
KLHL26,0.39132717
LILRA2,0.1397803
LILRA3,0.91039044
LRFN1,0.48905316
LRFN3,0.27359697
LRRC4B,0.8123898
MATK,0.60189086
MED25,0.68332547
MRPL4,0.783675
MUC16,0.99967194
MYBPC2,0.9825318
MYO1F,0.57071495
NCAN,0.370466
NFIC,0.40600568
NLRP11,0.20889693
NLRP9,0.13663945
NMRK2,1.0
NPAS1,0.16203143
NWD1,0.37740275
OR7D4,0.16266404
PPP1R12C,0.38115892
PPP2R1A,0.99998355
PRR19,0.17379463
PSG1,0.33308113
PSG4,0.5894569
REXO1,0.38794106
RGL3,0.3527209
RHPN2,0.6470663
RPS9,0.8768872
RYR1,0.8817256
SBK2,0.058337558
SHANK1,0.9533795
SIPA1L3,0.962584
SLC25A23,0.9973284
SMARCA4,0.9999585
SNAPC2,0.19391428
SPTBN4,0.84799635
SUGP2,0.5498554
TNFSF14,0.9399206
UPK1A,0.14110425
XAB2,0.9932955
ZBTB7A,0.90000993
ZNF180,0.97634137
ZNF20,0.38426754
ZNF324,0.41420457
ZNF446,0.5892181
ZNF525,0.33001718
ZNF527,0.39771914
ZNF546,0.33621648
ZNF555,0.2004608
ZNF560,0.48309326
ZNF599,0.99624217
ZSCAN1,0.74031645
ACP2,0.7591194
ANKK1,0.119021215
APOA4,0.46771702
ARHGEF17,0.75432146
ATG2A,0.72635084
B3GAT3,0.93842655
BBOX1,0.96163726
C11orf57,0.63312846
CAT,0.7947052
CCDC89,0.55333024
CHRM1,0.23062429
CLP1,0.27315643
CNTN5,0.294196
DAK,0.5341667
DEAF1,0.6314344
DSCAML1,0.9936226
DYNC2H1,0.34776866
EFEMP2,0.5167947
EPS8L2,0.47775778
ETS1,0.37744814
FAT3,0.9118498
FLRT1,0.2817211
GPR83,0.4388564
HRASLS5,0.21584536
IGSF9B,0.99530363
INTS5,0.5425639
KCNE3,0.29915005
MEN1,0.8036948
MRVI1,0.4930967
MUC2,0.3030608
MUC5AC,0.062347244
MYBPC3,0.71653706
NCAM1,0.96022046
NLRP14,0.09502752
OR10G4,0.36574066
OR2D3,0.17940451
OR51B6,0.06838706
OR51L1,0.28783575
OR5B21,0.20809066
OR5L2,0.259709
P2RX3,0.20044963
P2RY2,0.22673129
PCSK7,0.7567683
PHLDB1,0.7084071
PKP3,0.49678177
PPFIA1,0.98841417
PPFIBP2,0.97001135
PRDM11,0.77316654
PUS3,0.46103784
RAB38,0.5020574
SIK3,0.77286065
SLC5A12,0.043169003
SLCO2B1,0.5708104
SORL1,0.97946906
STIP1,0.9992737
STK33,0.6299759
TCIRG1,0.5604628
TECTA,0.83099306
TMEM132A,0.5308192
TRIM68,0.6423974
TRPM5,0.77189356
USP35,0.48382863
VWA5A,0.37409055
YAP1,0.95851916
ZNF195,0.27242428
