Hugo_Symbol,Score
AADACL3,0.95792735
AADACL4,0.06749073
ABCA4,0.9766842
ABCB10,0.91476595
ABCD3,0.9871516
ABL2,0.9989309
ACADM,0.7772511
ACAP3,0.411957
ACBD3,0.98371947
ACBD6,0.003826646
ACOT11,0.23866583
ACOT7,0.65062386
ACP6,0.87741864
ACTA1,0.8815644
ACTL8,0.5832126
ACTN2,0.8148455
ACTRT2,0.6126761
ADAM15,0.508807
ADAM30,0.92157257
ADAMTS4,0.8011959
ADAMTSL4,0.9859977
ADAR,0.96996325
ADCK3,0.7905862
ADCY10,0.9967818
ADIPOR1,0.659943
ADORA1,0.586601
ADORA3,0.3980689
ADPRHL2,0.24776188
ADSS,0.8427718
AGBL4,0.9989575
AGL,0.99978405
AGMAT,0.5237973
AGRN,0.89227706
AGT,0.6307083
AGTRAP,0.9288055
AHCTF1,0.98792654
AHCYL1,0.94155765
AHDC1,0.99915147
AIDA,0.998095
AIM1L,0.99018806
AIM2,0.21721105
AJAP1,0.89920205
AK2,0.65894186
AK4,0.32028502
AK5,0.8749745
AKIRIN1,0.120585635
AKNAD1,0.9975413
AKR1A1,0.392929
AKR7A2,0.94013876
AKR7A3,0.0114625925
AKR7L,0.63948333
AKT3,0.20966567
ALDH4A1,0.38970357
ALDH9A1,0.6108549
ALG14,0.09838484
ALG6,0.56818557
ALPL,0.98241246
ALX3,0.9063077
AMIGO1,0.5525821
AMPD1,0.99809116
AMPD2,0.8021225
AMY2A,0.99920195
AMY2B,0.6222619
ANGEL2,0.48346326
ANGPTL1,0.45683128
ANGPTL3,0.8889065
ANGPTL7,0.56701636
ANKRD13C,0.44201672
ANKRD34A,0.33360904
ANKRD35,0.7768938
ANKRD45,0.7249599
ANP32E,0.8162672
ANXA9,0.3945497
AP4B1,0.39263362
APCS,0.3382402
APH1A,0.7092927
APITD1,0.015761111
APOA1BP,0.80731577
APOA2,0.8592125
APOBEC4,0.0190481
AQP10,0.20306343
ARF1,0.85269374
ARHGAP29,0.99570423
ARHGAP30,0.7942133
ARHGEF10L,0.9734378
ARHGEF11,0.990226
ARHGEF16,0.23443204
ARHGEF19,0.5560159
ARHGEF2,0.8930756
ARID1A,1.0
ARID4B,0.9999871
ARL8A,0.2922053
ARNT,0.91045636
ARPC5,0.5705131
ARTN,0.003009319
ARV1,0.7271924
ASAP3,0.6540588
ASB17,0.85663116
ASH1L,0.9999994
ASPM,0.9999994
ASTN1,0.99553937
ATAD3A,0.736171
ATAD3B,0.66237193
ATAD3C,0.2839809
ATF3,0.6932825
ATF6,0.82075477
ATG4C,0.9542724
ATP13A2,0.71313167
ATP1A1,0.9958312
ATP1A2,0.9977284
ATP1A4,0.9633845
ATP1B1,0.72760785
ATP2B4,0.83817583
ATP5F1,0.7925813
ATP6V0B,0.2922529
ATP6V1G3,0.09685596
ATP8B2,0.90893656
ATPAF1,0.21720168
ATPIF1,0.8337827
ATXN7L2,0.5916406
AUNIP,0.011475692
AURKAIP1,0.0015519357
AVPR1B,0.9853558
AXDND1,0.7326495
B3GALNT2,0.4689526
B3GALT2,0.53829914
B3GALT6,0.08276532
B4GALT2,0.4003191
B4GALT3,0.83558625
BAI2,0.98781455
BARHL2,0.97477156
BATF3,0.17027119
BCAN,0.81626916
BCAR3,0.7762464
BCAS2,0.9670582
BCL10,0.99319834
BCL2L15,0.0464451
BCL9,0.999951
BEND5,0.2458807
BEST4,0.97983116
BGLAP,0.51782066
BLZF1,0.7969376
BMP8A,0.35031414
BMP8B,0.05083182
BNIPL,0.4396551
BOLA1,0.81641734
BPNT1,0.3724227
BRDT,0.43166456
BROX,0.98916143
BSDC1,0.9995259
BSND,0.23077184
BTBD19,0.008396665
BTBD8,0.9707819
BTF3L4,0.9939599
BTG2,0.9950271
C1QA,0.96447796
C1QB,0.17329867
C1QC,0.03854493
C1orf100,0.998346
C1orf101,0.8900266
C1orf105,0.0077817664
C1orf106,0.7322654
C1orf109,0.12692195
C1orf110,0.3033973
C1orf111,0.29809302
C1orf112,0.8709793
CCDC181,0.7530465
C1orf115,0.09043895
C1orf116,0.6833642
C1orf122,0.24388257
C1orf123,0.67054445
C1orf127,0.95522135
C1orf131,0.092135
C1orf141,0.09264135
C1orf145,0.99805295
C1orf146,0.09269134
C1orf158,0.021299822
C1orf159,0.28971723
C1orf162,0.03543618
C1orf168,0.9434365
C1orf174,0.079855934
C1orf177,0.12674834
C1orf185,0.028102268
C1orf186,0.14192253
C1orf189,0.55611813
C1orf194,0.98641264
C1orf198,0.99220794
C1orf204,0.020372322
C1orf21,0.97605044
C1orf210,0.4971384
C1orf216,0.49059358
C1orf226,0.22711708
C1orf228,0.0072441064
C1orf229,0.0033680252
C1orf27,0.7262282
C1orf35,0.92763406
C1orf43,0.34232193
C1orf50,0.039696593
C1orf52,0.5773107
C1orf53,0.496796
C1orf54,0.22325997
C1orf56,0.22076029
C1orf61,0.011997003
C1orf64,0.0014526083
C1orf68,0.9935114
C1orf74,0.19009075
C1orf86,0.012946379
C1orf87,0.09407709
C1orf94,0.758244
C1orf95,0.13028084
C4BPA,0.123329856
C4BPB,0.6014811
C8A,0.7392398
C8B,0.8556889
CA14,0.62043446
CA6,0.07337896
CACHD1,0.98119694
CACNA1S,0.9761045
CACYBP,0.96484226
CADM3,0.77503735
CALML6,0.026385961
CAMK1G,0.7538644
CAMK2N1,0.23822421
CAMSAP2,0.9983754
CAMTA1,0.9989483
CAP1,0.95574844
CAPN2,0.8105716
CAPN8,0.9997459
CAPN9,0.7383716
CAPZA1,0.99903035
CAPZB,0.74494743
CASP9,0.6180813
CASQ1,0.38465744
CASQ2,0.9997832
CASZ1,0.999821
CATSPER4,0.35110176
CC2D1B,0.48271194
CCBL2,0.1376743
CCDC163P,0.02669241
CCDC17,0.35120344
CCDC18,0.9998983
CCDC23,0.037674397
CCDC24,0.86418426
CCDC27,0.36499974
CCDC28B,0.33328366
CCDC30,0.9984151
CCNL2,0.9647483
CCSAP,0.11493391
CCT3,0.99374676
CD101,0.47831577
CD160,0.023178471
CD164L2,0.047987938
CD1A,0.65366274
CD1B,0.15455943
CD1C,0.71066976
CD1D,0.98982555
CD1E,0.98064226
CD2,0.9822547
CD244,0.21441425
CD247,0.36347985
CD34,0.29087365
CD46,0.025249982
CD48,0.0059318705
CD52,0.99999714
CD53,0.33614358
CD55,0.40307844
CD58,0.99995065
CD5L,0.48474073
CD84,0.1160855
CDA,0.09379949
CDC14A,0.9098355
CDC20,0.8123686
CDC42,0.8903969
CDC42BPA,0.9994823
CDC42SE1,0.8056719
CDC7,0.9990538
CDC73,0.9999912
CDCA8,0.016655602
CDCP2,0.5020444
CDK11A,0.8926534
CDK11B,0.7871332
CDK18,0.77680254
CDKN2C,0.99972206
CELA2A,0.9737264
CELA2B,0.08484121
CELA3A,0.045974486
CELA3B,0.14422032
CELF3,0.75448906
CELSR2,0.9988601
CENPF,0.9983423
CENPL,0.7802728
CEP104,0.6176116
CEP170,0.99992716
CEP350,0.9998833
CEP85,0.31288198
CEPT1,0.5821767
CERS2,0.80608433
CFH,0.96491385
CFHR1,0.0053071356
CFHR2,0.056095015
CFHR3,0.9803345
CFHR4,0.6694948
CFHR5,0.5472026
CGN,0.7487242
CHD1L,0.96652716
CHD5,0.9999529
CHI3L1,0.66284454
CHI3L2,0.16683216
CHIA,0.47681883
CHIT1,0.8960905
CHML,0.68218243
CHRM3,0.98275983
CHRNB2,0.95161533
CHTOP,0.7861028
CKS1B,0.76822907
CLCA1,0.45657507
CLCA2,0.2691358
CLCA4,0.95121455
CLCC1,0.7675888
CLCN6,0.91108257
CLCNKA,0.57134646
CLCNKB,0.7602916
CLDN19,0.06934872
CLIC4,0.99908066
CLK2,0.8252751
CLSPN,0.9987143
CLSTN1,0.9941115
CMPK1,0.99981207
CNIH3,0.04816219
CNIH4,0.13706526
CNKSR1,0.84343016
CNN3,0.9672161
CNR2,0.03271634
CNST,0.7313397
CNTN2,0.7886044
COA6,0.013699847
COG2,0.784526
COL16A1,0.99886864
