Hugo_Symbol,Score
A3GALT2,0.16447344
AADACL3,0.21883462
AADACL4,0.13331474
ABCA4,0.9923382
ABCB10,0.969101
ABCD3,0.999718
ABL2,0.99685127
ACADM,0.97521484
ACAP3,0.37700585
ACBD3,0.98664373
ACBD6,0.12576915
ACOT11,0.30303833
ACOT7,0.6628972
ACP6,0.8544749
ACTA1,0.95175403
ACTL8,0.18129317
ACTN2,0.8369862
ACTRT2,0.5620457
ADAM15,0.9060546
ADAM30,0.7548959
ADAMTS4,0.85091764
ADAMTSL4,0.982094
ADAR,0.9538379
ADCK3,0.80025613
ADCY10,0.9989403
ADIPOR1,0.4556497
ADORA1,0.21373609
ADORA3,0.21787965
ADPRHL2,0.29384178
ADSS,0.72032946
AGBL4,0.9969958
AGL,0.9994246
AGMAT,0.49208608
AGRN,0.9961999
AGT,0.14579013
AGTRAP,0.8273185
AHCTF1,0.9994867
AHCYL1,0.94429016
AHDC1,0.9998029
AIDA,0.7492297
AIM1L,0.97226906
AIM2,0.10772827
AJAP1,0.9723654
AK2,0.6141568
AK4,0.0135846855
AK5,0.9891977
AKIRIN1,0.09461094
AKNAD1,0.99494743
AKR1A1,0.5955657
AKR7A2,0.52282435
AKR7A3,0.016748386
AKR7L,0.044189963
AKT3,0.6690751
ALDH4A1,0.8491732
ALDH9A1,0.63019675
ALG14,0.065273
ALG6,0.5202767
ALPL,0.6717416
ALX3,0.012490524
AMIGO1,0.8784464
AMPD1,0.9933889
AMPD2,0.98927504
AMY2A,0.37342858
AMY2B,0.8974183
ANGEL2,0.87230563
ANGPTL1,0.27709687
ANGPTL3,0.6238153
ANGPTL7,0.033422414
ANKRD13C,0.5243652
ANKRD34A,0.4814397
ANKRD35,0.86270225
ANKRD45,0.23641267
ANKRD65,0.7097264
ANP32E,0.7096084
ANXA9,0.20195632
AP4B1,0.827665
APCS,0.6664112
APH1A,0.80116236
APITD1,0.0036848756
APOA1BP,0.33648252
APOA2,0.32513434
APOBEC4,0.026851606
AQP10,0.4956415
ARF1,0.72906417
ARHGAP29,0.98585576
ARHGAP30,0.89168125
ARHGEF10L,0.89446616
ARHGEF11,0.99846447
ARHGEF16,0.007814182
ARHGEF19,0.9264655
ARHGEF2,0.98640114
ARID1A,1.0
ARID4B,0.99126923
ARL8A,0.74913937
ARNT,0.9790375
ARPC5,0.378226
ARTN,0.3029687
ARV1,0.20148994
ASAP3,0.7909137
ASB17,0.8166093
ASH1L,0.9999881
ASPM,0.99999
ASTN1,0.9874893
ATAD3A,0.99089664
ATAD3B,0.48995283
ATAD3C,0.20776291
ATF3,0.7167399
ATF6,0.9581654
ATG4C,0.9833974
ATP13A2,0.8948125
ATP1A1,0.9993316
ATP1A2,0.992278
ATP1A4,0.9713774
ATP1B1,0.9601557
ATP2B4,0.9133989
ATP5F1,0.97238827
ATP6V0B,0.7978183
ATP6V1G3,0.12180359
ATP8B2,0.9755156
ATPAF1,0.03459037
ATPIF1,0.00027116342
ATXN7L2,0.59987307
AUNIP,0.06810054
AURKAIP1,0.0101111205
AVPR1B,0.89288336
AXDND1,0.88961595
B3GALNT2,0.6164586
B3GALT2,0.8962904
B3GALT6,0.88313556
B4GALT2,0.57495534
B4GALT3,0.938112
BAI2,0.99877006
BARHL2,0.35319108
BATF3,0.0773076
BCAN,0.81505895
BCAR3,0.85897034
BCAS2,0.9786886
BCL10,0.85397565
BCL2L15,0.03816329
BCL9,0.99607927
BEND5,0.36688924
BEST4,0.79210967
BGLAP,0.8368649
BLZF1,0.91192865
BMP8A,0.33140323
BMP8B,0.01700819
BNIPL,0.634382
BOLA1,0.16653836
BPNT1,0.59345865
BRDT,0.70579773
BROX,0.72020674
BSDC1,0.99801636
BSND,0.31391883
BTBD19,0.35014686
BTBD8,0.7523284
BTF3L4,0.59545666
BTG2,0.95084345
C1QA,0.020201031
C1QB,0.09760245
C1QC,0.017875256
C1orf100,0.16239361
C1orf101,0.832523
C1orf105,0.005341682
C1orf106,0.7958132
