algorithm,Trans-Driver,2020plus,CompositeDriver,CHASM,e-Driver,ECD-CDGI,MCDHGN,MNGCL,OncodriveCLUST,MuSiC,ActiveDriver
Trans-Driver,1.0,0.3386045495942664,0.20835376836962025,0.22168297393613295,0.2442978427128448,0.2545029443431614,0.2884989415517577,0.1497460639631473,0.011876779858284113,0.26677505959612363,0.17826789590986183
2020plus,0.3386045495942664,1.0,0.1277604126541208,0.2244962570245524,0.044109310614836264,0.29018371939886795,0.35904458671396766,0.2804917995656707,0.06583066106855022,0.1654307973741153,0.06909098852176557
CompositeDriver,0.20835376836962025,0.1277604126541208,1.0,0.13605200652295626,0.15885790163408028,0.18529359014633678,0.17879818342022827,0.15131512062939712,0.2657173415156935,0.1046322712382666,0.12295281868754347
CHASM,0.22168297393613295,0.2244962570245524,0.13605200652295626,1.0,0.04405478144914276,0.1391870961689036,0.1977570040260699,0.139166972740722,-0.02831063864388707,0.023467031042023842,0.06134297069187072
e-Driver,0.2442978427128448,0.044109310614836264,0.15885790163408028,0.04405478144914276,1.0,0.08677006792530972,0.05734907863719587,0.035269411096997785,0.20873745249857112,0.23344194928509263,0.36025484333175717
ECD-CDGI,0.2545029443431614,0.29018371939886795,0.18529359014633678,0.1391870961689036,0.08677006792530972,1.0,0.4277500659508475,0.40035562000942354,0.05568395095596477,0.12840762385701984,0.09713827731272999
MCDHGN,0.2884989415517577,0.35904458671396766,0.17879818342022827,0.1977570040260699,0.05734907863719587,0.4277500659508475,1.0,0.6052393042490477,-0.04439554713094649,0.025350565763029326,0.08876473141213419
MNGCL,0.1497460639631473,0.2804917995656707,0.15131512062939712,0.139166972740722,0.035269411096997785,0.40035562000942354,0.6052393042490477,1.0,0.007658662081892353,-0.01291963264889074,0.049066133070253405
OncodriveCLUST,0.011876779858284113,0.06583066106855022,0.2657173415156935,-0.02831063864388707,0.20873745249857112,0.05568395095596477,-0.04439554713094649,0.007658662081892353,1.0,0.09669458507864094,0.1544641700267391
MuSiC,0.26677505959612363,0.1654307973741153,0.1046322712382666,0.023467031042023842,0.23344194928509263,0.12840762385701984,0.025350565763029326,-0.01291963264889074,0.09669458507864094,1.0,0.10197544352342497
ActiveDriver,0.17826789590986183,0.06909098852176557,0.12295281868754347,0.06134297069187072,0.36025484333175717,0.09713827731272999,0.08876473141213419,0.049066133070253405,0.1544641700267391,0.10197544352342497,1.0
