gene,Trans-Driver,2020plus,CompositeDriver,CHASM,e-Driver,ECD-CDGI,MCDHGN,MNGCL,OncodriveCLUST,MuSiC,ActiveDriver
1-Dec,0.06694293007574376,,,,,0.0,0.0,0.0,,,
1-Mar,0.09584607541638003,,,,,0.0,0.0,0.0,,,
10-Mar,0.27088463868398877,,,,,0.0,0.0,0.0,,,
11-Mar,0.7393218532872857,,,,,0.0,0.0,0.0,,,
15-Sep,0.0011594178542385094,,,,,0.0,0.0,0.0,,,
2-Mar,0.04441130195903819,,,,,0.0,0.0,0.0,,,
3-Mar,0.08613757620659124,,,,,0.0,0.0,0.0,,,
4-Mar,0.2174862599632919,,,,,0.0,0.0,0.0,,,
5-Mar,0.34362389549451394,,,,,0.0,0.0,0.0,,,
6-Mar,0.7321391027458707,,,,,0.0,0.0,0.0,,,
7-Mar,0.7899347019550239,,,,,0.0,0.0,0.0,,,
8-Mar,0.5448213137769863,,,,,0.0,0.0,0.0,,,
9-Mar,0.4189093678383968,,,,,0.0,0.0,0.0,,,
A1BG,0.2495533901171494,0.3495073429300179,0.0638313829566137,0.8594919569618205,2.1508541072950726,0.0,0.03016741,0.62837756,0.6782200551166836,4.306535460230973,
A1CF,1.3997733098566052,1.4273562929073316,0.049824660634999456,0.8170150329964183,1.7078545399434464,0.59709203,0.94611645,0.6220996,1.03846627755231,,-0.0
A2M,0.6720121838879801,1.6677316594497458,0.004232795600819791,0.8250684064715574,1.1788174429672014,0.547587,0.013852974,0.8263075,0.8116986640090091,,-0.0
A2ML1,0.9683880134592383,0.9332423131724015,0.0018276949059044586,0.2973971586595729,0.6955193222791829,0.0,0.0,0.6209199,0.31157279762130735,12.830204385656957,-0.0
A3GALT2,,0.07187364887201018,0.031093746295520062,1.2006594505464183,0.010994929383785289,,,,,0.0501951512353591,
A4GALT,0.19966885492602207,0.456751996463782,0.6651877376595707,0.45692576496646786,1.3583524078248197,0.0,0.8360543,0.6423234,0.32087909659588726,6.908005018324898,
A4GNT,0.1855609359379098,0.2914634791442149,0.31735694902709494,0.3092724561296331,0.4902693415321451,0.455786,0.014639677,0.620335,,6.65467694707215,
AAAS,0.3579580050499915,0.7985291389305079,0.29649412903863204,0.6158258611929666,-0.0,0.34886527,0.6505835,0.75013304,0.4740753499151299,0.7904080116004168,-0.0
AACS,0.27015070479567843,0.5480835461955904,0.1043447003175568,0.6699922991272408,0.5907828117438735,0.0,0.060248364,0.67025506,0.45919045711695394,0.7472170671816298,1.5418118737265378
AADAC,0.15166539330404058,0.07821551906352468,0.18221372753125684,0.26344415283736405,0.13552340804043628,0.0,0.24132618,0.58307356,1.2960395212453681,6.342721462832208,1.5338721490168767
AADACL2,0.13036040035848415,0.09137884695989329,0.00013029486029136853,0.18628560811885517,0.42645414680510174,0.0,0.0,0.0,,9.039994018064448,
AADACL3,0.3683242857654084,0.0848235165349444,0.1192298349960714,0.07998108397108519,0.33988541910311104,0.0,0.0,0.0,,0.8062751894961738,
