Hugo_Symbol,Score
AADACL3,0.8638961
AADACL4,0.10184092
ABCA4,0.9746627
ABCB10,0.9914649
ABCD3,0.9960628
ABL2,0.99989605
ACADM,0.6928033
ACAP3,0.35587895
ACBD3,0.9993568
ACBD6,0.024695171
ACOT11,0.31371114
ACOT7,0.30064666
ACP6,0.93633044
ACTA1,0.8848498
ACTL8,0.3372562
ACTN2,0.9335389
ACTRT2,0.721497
ADAM15,0.6322266
ADAM30,0.98024863
ADAMTS4,0.79294443
ADAMTSL4,0.99945515
ADAR,0.9960681
ADCK3,0.9320915
ADCY10,0.99984694
ADIPOR1,0.56151277
ADORA1,0.39352155
ADORA3,0.37592447
ADPRHL2,0.17454469
ADSS,0.93971103
AGBL4,0.9806224
AGL,0.9999858
AGMAT,0.512238
AGRN,0.95942175
AGT,0.8477724
AGTRAP,0.91700774
AHCTF1,0.99827397
AHCYL1,0.9781948
AHDC1,0.99985147
AIDA,0.9942514
AIM1L,0.99254465
AIM2,0.43687078
AJAP1,0.9353688
AK2,0.6087094
AK4,0.17250735
AK5,0.961871
AKIRIN1,0.105502956
AKNAD1,0.999863
AKR1A1,0.22207971
AKR7A2,0.784868
AKR7A3,0.02201233
AKR7L,0.3149331
AKT3,0.60698724
ALDH4A1,0.37180516
ALDH9A1,0.6260292
ALG14,0.0489306
ALG6,0.8645783
ALPL,0.9870898
ALX3,0.64520967
AMIGO1,0.31783795
AMPD1,0.99966586
AMPD2,0.85571617
AMY2A,0.96367824
AMY2B,0.921212
ANGEL2,0.47168595
ANGPTL1,0.43770444
ANGPTL3,0.95993304
ANGPTL7,0.3732366
ANKRD13C,0.44090432
ANKRD34A,0.32597166
ANKRD35,0.84507674
ANKRD45,0.59110147
ANP32E,0.7439989
ANXA9,0.23546825
AP4B1,0.22147202
APCS,0.51294774
APH1A,0.6649384
APITD1,0.036352027
APOA1BP,0.6691636
APOA2,0.5558637
APOBEC4,0.057632107
AQP10,0.3561139
ARF1,0.7428568
ARHGAP29,0.99919647
ARHGAP30,0.9695041
ARHGEF10L,0.9872476
ARHGEF11,0.99922585
ARHGEF16,0.14066294
ARHGEF19,0.7593566
ARHGEF2,0.9372186
ARID1A,1.0
ARID4B,0.99999964
ARL8A,0.83044153
ARNT,0.98477846
ARPC5,0.42529857
ARTN,0.011626859
ARV1,0.8048366
ASAP3,0.64671606
ASB17,0.9855467
ASH1L,1.0
ASPM,1.0
ASTN1,0.99956256
ATAD3A,0.6693597
ATAD3B,0.43817362
ATAD3C,0.2395841
ATF3,0.543057
ATF6,0.9550137
ATG4C,0.97773814
ATP13A2,0.74546796
ATP1A1,0.99917275
ATP1A2,0.99987257
ATP1A4,0.9858732
ATP1B1,0.7457123
ATP2B4,0.96054393
ATP5F1,0.94411486
ATP6V0B,0.17171103
ATP6V1G3,0.16004892
ATP8B2,0.9956208
ATPAF1,0.1938661
ATPIF1,0.19313811
ATXN7L2,0.71360445
AUNIP,0.029223777
AURKAIP1,0.011720517
AVPR1B,0.99703085
AXDND1,0.9148961
B3GALNT2,0.44526267
B3GALT2,0.57790065
B3GALT6,0.12181368
B4GALT2,0.2874426
B4GALT3,0.9427139
BAI2,0.9973732
BARHL2,0.9471418
BATF3,0.15818138
BCAN,0.77085936
BCAR3,0.7994351
BCAS2,0.9907562
BCL10,0.9934563
BCL2L15,0.10948502
BCL9,0.9999989
BEND5,0.12717192
BEST4,0.99273163
BGLAP,0.1479326
BLZF1,0.7821761
BMP8A,0.12171532
BMP8B,0.1188186
BNIPL,0.5712915
BOLA1,0.9223523
BPNT1,0.50997585
BRDT,0.46810135
