gene,transcript,protein_change,score,pvalue,qvalue,info
CFTR,ENST00000003084,.,.,9.99990000099999e-06,0.0081518232436723,.
TP53,ENST00000269305,.,.,9.99990000099999e-06,0.0081518232436723,.
BRAF,ENST00000288602,.,.,9.99990000099999e-06,0.0081518232436723,.
SCN1A,ENST00000303395,.,.,9.99990000099999e-06,0.0081518232436723,.
COL3A1,ENST00000304636,.,.,9.99990000099999e-06,0.0081518232436723,.
COL4A5,ENST00000328300,.,.,9.99990000099999e-06,0.0081518232436723,.
ARID2,ENST00000334344,.,.,9.99990000099999e-06,0.0081518232436723,.
MYH7,ENST00000355349,.,.,9.99990000099999e-06,0.0081518232436723,.
SCN2A,ENST00000357398,.,.,9.99990000099999e-06,0.0081518232436723,.
NF1,ENST00000358273,.,.,9.99990000099999e-06,0.0081518232436723,.
F8,ENST00000360256,.,.,9.99990000099999e-06,0.0081518232436723,.
COL11A1,ENST00000370096,.,.,9.99990000099999e-06,0.0081518232436723,.
COL5A1,ENST00000371817,.,.,9.99990000099999e-06,0.0081518232436723,.
PTEN,ENST00000371953,.,.,9.99990000099999e-06,0.0081518232436723,.
COL4A6,ENST00000372216,.,.,9.99990000099999e-06,0.0081518232436723,.
COL11A2,ENST00000374708,.,.,9.99990000099999e-06,0.0081518232436723,.
SCN5A,ENST00000413689,.,.,9.99990000099999e-06,0.0081518232436723,.
IDH1,ENST00000415913,.,.,9.99990000099999e-06,0.0081518232436723,.
TENM1,ENST00000422452,.,.,9.99990000099999e-06,0.0081518232436723,.
CDKN2A,ENST00000498124,.,.,9.99990000099999e-06,0.0081518232436723,.
HEPH,ENST00000519389,.,.,9.99990000099999e-06,0.0081518232436723,.
KCNQ5,ENST00000342056,.,.,1.9999800002e-05,0.0155625716470108,.
PHKA1,ENST00000373542,.,.,2.9999700003e-05,0.0205425945740543,.
CLCN5,ENST00000376088,.,.,2.9999700003e-05,0.0205425945740543,.
SMARCA4,ENST00000429416,.,.,2.9999700003e-05,0.0205425945740543,.
SCN9A,ENST00000409672,.,.,4.99995000049999e-05,0.0329208246379074,.
CYBB,ENST00000378588,.,.,5.99994000059999e-05,0.0380418418038042,.
COL5A3,ENST00000264828,.,.,6.99993000069999e-05,0.0427970720292797,.
MAP2K1,ENST00000307102,.,.,8.99991000089999e-05,0.0496998255823893,.
ATRX,ENST00000373344,.,.,8.99991000089999e-05,0.0496998255823893,.
COL2A1,ENST00000380518,.,.,8.99991000089999e-05,0.0496998255823893,.
MYH2,ENST00000245503,.,.,9.99990000099999e-05,0.0534963400365996,.
MTM1,ENST00000370396,.,.,0.000119998800012,0.060419395806042,.
WAS,ENST00000376701,.,.,0.000119998800012,0.060419395806042,.
NRAS,ENST00000369535,.,.,0.000149998500015,0.0727550224497756,.
