Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
A3GALT2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1023.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.823313346,0.024,0.0,1.0,1.0,0.63218737,0.928025594,0.424476383,0.639651494,19.22014218,472.2878609,0.017363845,0.0,0.0,-12.135,2.9500205,0.01,4.2696178,-24.28,1.763614,0.474997054,0.054978202,0.0
AADACL4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1224.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.603334661,0.311,0.0,1.0,1.0,0.760456274,1.0,0.799360512,0.978371888,17.14990586,454.0,0.02278783,0.0,0.0,-0.705,0.0271445,0.46,4.2696178,-1.87,1.763614,0.474997054,0.054978202,0.0
ABCA4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6822.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.901713255,1.0,0.795544948,0.977508297,18.9671404,370.0,-0.001895926,0.0,1.0,-4.665,0.4484045,0.07,4.2696178,-9.4,1.763614,0.960154193,0.054978202,0.0
ACOT11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1824.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.60449092,0.173,0.0,1.0,1.0,0.956937799,1.0,0.259403372,0.609434762,19.39207777,415.0,0.01756964,7.68e-08,4.0,5.7299998,0.63845,5.7299998,0.63845,-8.5390404,1.763614,0.567409114,0.054978202,0.0
ACTA1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1134.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.472894773,0.644,0.0,1.0,1.0,0.616522811,1.0,0.242072137,0.585456187,17.89300046,361.0,0.02946144,0.00107713,109.0,9.555,1.7428445,9.555,1.7428445,-8.5390404,1.763614,0.573025452,0.054978202,0.0
ACTN2,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2685.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.428588531,0.663142857,0.0,7.0,7.0,0.845308538,0.997555012,0.611246944,0.911398344,18.70448356,682.0,-0.009612596,0.000246355,62.0,2.4171427,1.0355488,4.985833,0.47972463,-12.995,2.6427006,1.386201897,0.246325929,0.0
ACTRT2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1134.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.746025843,0.603,0.0,1.0,1.0,0.526038927,1.0,0.301386377,0.662857803,18.23261439,634.0,0.01910433,0.0,0.0,2.670435776,3.877873907,9.297617476,4.27875981,-8.544305554,1.763804503,0.474997054,0.054978202,0.0
ADAMTSL4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3225.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.612954545,0.69,0.0,1.0,1.0,0.79491256,1.0,0.218627022,0.551024944,20.49291817,152.0,0.03127347,0.000588745,107.0,-15.359999,4.7431998,0.04,4.2696178,-30.76,1.763614,0.474997054,0.054978202,0.0
ADAR,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3681.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.283348684,0.449666667,0.0,3.0,3.0,0.071002556,1.0,0.575373993,0.893403353,20.87831066,403.0,0.03639176,2.77e-05,39.0,5.8066666,3.0895667,10.53,4.235522,-3.6399998,0.064081996,0.02102079,7.36e-06,0.0
ADCK3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1944.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.260107039,0.5935,0.0,2.0,2.0,0.538502962,1.0,0.747943156,0.965167014,18.64932495,481.0,0.004611321,0.000125982,13.0,12.2125,3.9146844,12.2125,3.9146844,-8.5390404,1.763614,0.474997054,0.054978202,0.0
ADCY10,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4833.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.959245901,0.41925,0.0,4.0,4.0,0.079624174,1.0,0.637755102,0.924617935,19.02812919,238.0,0.01328722,0.0,0.0,-1.06666675,0.54604253,1.8642858,0.086796284,-11.325,1.1415606,0.474997054,0.054978202,0.0
ADIPOR1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1128.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.241998831,0.951,0.0,1.0,1.0,1.0,1.0,0.56561086,0.887923622,18.68416543,389.0,0.03032769,3.83e-05,11.0,12.14,2.9040499,12.14,2.9040499,-8.5390404,1.763614,0.03302443,0.054978202,0.0
ADORA1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,981.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.82973178,0.592,0.0,2.0,2.0,1.0,1.0,0.35971223,0.727500334,18.83931729,453.0,0.03682687,9.13e-06,7.0,5.7074998,1.5220429,12.185,2.8824003,-0.77,0.005408001,1.260272996,0.0112546,0.0
AGBL4,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1512.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.323523692,0.884,0.0,3.0,3.0,0.231696015,1.0,0.100583384,0.331600101,14.00870785,1041.0,-0.01843567,0.0,0.0,-0.8183333,0.21894856,2.4466665,0.15492432,-4.083333,0.072640326,0.474997054,0.054978202,0.0
AGL,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4599.0,0.0,0.0,0.0,0.75,0.0,1.0,0.25,0.0,1.0,0.632842807,0.75275,0.0,3.0,4.0,0.728862974,1.0,0.183486239,0.494608369,18.14422207,595.0,0.008860483,0.000157151,47.0,-3.9049998,0.18959885,0.17666667,0.000110333,-6.354,0.1318228,0.055253856,9.97e-05,0.0
AGRN,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,6138.0,0.0,0.25,0.0,0.75,0.0,1.0,0.0,0.0,1.0,0.959084953,0.65475,0.0,3.0,4.0,0.677506775,1.0,0.201207243,0.52382693,20.91084399,239.0,0.01491109,9.33e-06,10.0,2.670435776,3.877873907,9.297617476,4.27875981,-8.544305554,1.763804503,0.474997054,0.054978202,0.0
AHCTF1,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,6828.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.460496925,0.5888,0.0,5.0,5.0,0.773993808,1.0,0.168776371,0.469060032,18.68886838,405.0,0.004111425,4.12e-05,15.0,5.5377778,0.88947695,7.4,1.000834,-0.98,0.018432002,0.806425919,0.02480645,0.0
AHCYL1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1593.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.390202535,0.6585,0.0,2.0,2.0,0.914913083,1.0,0.337040782,0.703589936,19.33323093,373.0,0.02916888,0.000663907,139.0,-4.4250004,3.1137899,6.0099997,0.60499995,-14.860001,4.3808006,0.103758582,0.00079569,0.0
AHDC1,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4812.0,0.0,0.333333333,0.0,0.666666667,0.0,1.0,0.0,0.0,1.0,0.443450331,0.529,0.0,2.0,3.0,0.513874615,1.0,0.038908992,0.165228197,19.4932697,217.0,0.02515438,3.12e-05,10.0,-0.7057143,0.5685763,4.9133334,0.31944234,-4.9200002,0.37165135,0.474997054,0.054978202,0.0
AIDA,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,921.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.241998831,0.776,0.0,1.0,1.0,0.151998784,1.0,0.31201248,0.675417189,17.76153695,392.0,0.001234602,2.22e-05,12.0,0.195,0.0026645,0.56,4.2696178,-0.17,1.763614,0.474997054,0.054978202,0.0
AIM1L,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4986.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.945123979,0.448,0.0,1.0,1.0,0.152578578,1.0,0.029580548,0.133722958,19.96169414,217.0,0.02159451,0.0,0.0,-3.2399997,0.24780799,0.28,4.2696178,-6.76,1.763614,0.474997054,0.054978202,0.0
AJAP1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1236.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.779984822,0.4545,0.0,2.0,2.0,0.141043724,1.0,0.301295571,0.66274888,12.47556777,921.0,0.003660757,1.97e-06,3.0,0.25199975,1.06971925,5.14,0.75905197,-7.080001,0.9688321,1.096644579,0.066957888,0.0
AK4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,672.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.543711891,0.053,0.0,1.0,1.0,1.0,1.0,0.343288706,0.710327318,18.0951178,351.0,-0.008810368,2.97e-05,9.0,7.565,1.0672605,7.565,1.0672605,-8.5390404,1.763614,0.474997054,0.054978202,0.0
AK5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1689.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0,1.399710914,0.529,0.0,1.0,2.0,0.812347685,1.0,0.161264312,0.455525007,18.88673047,536.0,-0.008071406,1.82e-06,8.0,7.99,0.8288686,10.68,0.809137,-0.08,1.763614,0.154210941,0.002739365,0.0
AKNAD1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2511.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.717106841,0.483,0.0,1.0,1.0,0.917431193,0.122500196,0.078425222,0.054234532,19.61157509,236.0,0.008164691,0.0,1.0,-6.855,1.0181645,0.28,4.2696178,-13.99,1.763614,0.474997054,0.054978202,0.0
