Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
ABCA4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.001769912,0.012389381,1.431858407,2.0,6822.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.599126308,0.412,0.0,0.5,0.5,0.901713255,1.0,0.795544948,0.977508297,18.9671404,370.0,-0.001895926,0.0,1.0,2.18,0.07967733,2.18,0.07967733,-8.055296,2.354131,0.742313461,0.088900958,0.0
ACTA1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001769912,0.012389381,1.431858407,1.0,1134.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.295155422,0.888,0.0,1.0,1.0,0.616522811,1.0,0.242072137,0.585456187,17.89300046,361.0,0.02946144,0.00107713,109.0,23.595001,11.200645,47.26,3.0299995,-0.07,2.354131,0.492655275,0.056884036,0.0
ACTN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.001769912,0.012389381,1.431858407,1.0,2685.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.845308538,0.997555012,0.611246944,0.911398344,18.70448356,682.0,-0.009612596,0.000246355,62.0,21.689999,9.245,21.689999,9.245,-8.055296,2.354131,0.605786842,0.056884036,0.0
ADCK3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.001769912,0.012389381,1.431858407,1.0,1944.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.538502962,1.0,0.747943156,0.965167014,18.64932495,481.0,0.004611321,0.000125982,13.0,11.55,2.663432,11.55,2.663432,-8.055296,2.354131,0.502000518,0.056884036,0.0
ADIPOR1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001769912,0.012389381,1.431858407,1.0,1128.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.84366872,0.404,0.0,1.0,1.0,1.0,1.0,0.56561086,0.887923622,18.68416543,389.0,0.03032769,3.83e-05,11.0,22.395001,9.879013,22.395001,9.879013,-8.055296,2.354131,0.047172198,0.056884036,0.0
AGRN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001769912,0.012389381,1.431858407,1.0,6138.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,1.003466926,0.551,0.0,1.0,2.0,0.677506775,1.0,0.201207243,0.52382693,20.91084399,239.0,0.01491109,9.33e-06,10.0,1.536584465,3.38346454,7.589517735,3.029999478,-8.055295631,2.354131063,0.502000518,0.056884036,0.0
AIM1L,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001769912,0.012389381,1.431858407,1.0,4986.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.526223097,0.111,0.0,1.0,1.0,0.152578578,1.0,0.029580548,0.133722958,19.96169414,217.0,0.02159451,0.0,0.0,13.445,3.5778128,13.445,3.5778128,-8.055296,2.354131,0.502000518,0.056884036,0.0
AJAP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.001769912,0.012389381,1.431858407,1.0,1236.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.141043724,1.0,0.301295571,0.66274888,12.47556777,921.0,0.003660757,1.97e-06,3.0,-0.35,3.3834644,7.5895175,3.0299995,-0.35,2.354131,0.598647613,0.056884036,0.0
ALDH4A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.001769912,0.012389381,1.431858407,1.0,1692.0,0.5,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.5,0.0,0.0,0.5,0.695410292,1.0,0.570125428,0.890478275,19.29356146,453.0,0.02718929,1.57e-05,23.0,4.06,0.20072535,4.06,0.20072535,-8.055296,2.354131,0.096648839,0.0,0.0
AMY2A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.001769912,0.012389381,1.431858407,1.0,1536.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.164203612,1.0,0.630914826,0.921504358,14.73158845,1015.0,-0.01987349,5.45e-07,4.0,2.16,0.1152,4.56,3.0299995,-0.24,2.354131,0.718714135,0.056884036,0.0
AMY2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.001769912,0.012389381,1.431858407,1.0,1536.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.551267916,1.0,0.46728972,0.822806462,14.93276147,974.0,-0.01881541,0.0,1.0,3.07,0.267912,6.73,3.0299995,-0.59,2.354131,1.816172639,0.056884036,0.0
ARHGAP30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.001769912,0.012389381,1.431858407,1.0,3306.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.341296928,1.0,0.625782228,0.919119429,19.39421376,250.0,0.02271094,0.0,0.0,17.855,6.476401,35.85,3.0299995,-0.14,2.354131,0.502000518,0.056884036,0.0
ARHGEF10L,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.001769912,0.012389381,1.431858407,2.0,3840.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.308305655,0.4055,0.0,2.0,2.0,0.035991938,1.0,0.520020801,0.860055365,18.517501,279.0,0.03035749,0.0,0.0,-4.8275,1.2402689,1.16,0.007688,-10.815,2.2791125,0.04890426,0.000299979,0.0
ARHGEF11,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.001769912,0.012389381,1.431858407,2.0,4689.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.862836945,0.3815,0.0,2.0,2.0,0.235017626,1.0,0.336360579,0.702849493,19.87000975,350.0,0.03612695,6.62e-05,15.0,2.4425,0.10407359,2.4425,0.10407359,-8.055296,2.354131,0.676225952,0.008303124,0.0
ARHGEF2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001769912,0.012389381,1.431858407,1.0,2961.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.496389215,0.337,0.0,1.0,1.0,0.099890121,1.0,0.938967136,0.998098403,20.84267183,213.0,0.0321663,7.34e-05,42.0,40.240002,33.472562,81.15,3.0299995,-0.67,2.354131,0.205747666,0.056884036,0.0
ARID1A,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.001769912,0.012389381,1.431858407,5.0,6858.0,0.333333333,0.0,0.0,0.666666667,0.0,1.0,0.0,0.0,1.0,0.64216512,0.1965,0.0,1.333333333,1.333333333,0.0,0.968992248,1.0,0.999514212,19.89647003,182.0,0.02749164,0.000107153,52.0,9.7658336,2.9840907,11.74,3.38739,-0.105,8.45e-05,0.127211677,0.000719774,0.0
ASPM,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.001769912,0.012389381,1.431858407,3.0,10434.0,0.2,0.0,0.0,0.6,0.0,1.0,0.2,0.0,0.827729377,0.423698819,0.7058,0.0,1.5,2.0,0.983284169,1.0,0.288350634,0.646937157,17.75875999,614.0,-0.02455929,4.44e-05,20.0,4.815,0.69174203,5.587143,0.7513866,-0.59,2.354131,0.092350128,0.000172074,0.0
