gene,transcript,protein_change,score,pvalue,qvalue,info
AHNAK,ENST00000378024,.,.,1.1990558950369802e-09,7.10560523398915e-06,.
TP53,ENST00000269305,.,.,1.82551955160258e-07,0.0005409014431398,.
RGPD3,ENST00000409886,.,.,4.74257460945978e-07,0.0009368165711886,.
KNTC1,ENST00000333479,.,.,9.06163646473334e-07,0.0013424814422502,.
MAP1B,ENST00000296755,.,.,1.95899285117062e-06,0.0023217983272074,.
HOOK2,ENST00000397668,.,.,2.54981271242736e-06,0.0025183650223074,.
TANC1,ENST00000263635,.,.,3.29664363413203e-06,0.002790844310838,.
PCM1,ENST00000325083,.,.,4.2696907863662e-06,0.0031627734500007,.
HUWE1,ENST00000342160,.,.,4.94821865506445e-06,0.0032581270833235,.
GTPBP1,ENST00000216044,.,.,6.89505424213691e-06,0.0040860091438903,.
ESPL1,ENST00000257934,.,.,1.0612399658852e-05,0.0041373643946759,.
LRRK2,ENST00000298910,.,.,1.0476599633678e-05,0.0041373643946759,.
PHACTR4,ENST00000373839,.,.,1.0625148980092e-05,0.0041373643946759,.
PRKCI,ENST00000295797,.,.,8.39056098720608e-06,0.0041373643946759,.
UBC,ENST00000536769,.,.,1.1170744231322e-05,0.0041373643946759,.
USP36,ENST00000542802,.,.,1.05442228489399e-05,0.0041373643946759,.
SON,ENST00000356577,.,.,1.26971729197071e-05,0.0041801914845658,.
UBR4,ENST00000375254,.,.,1.26685366647593e-05,0.0041801914845658,.
EP300,ENST00000263253,.,.,1.41682567997624e-05,0.0041980544897696,.
ZC3H13,ENST00000282007,.,.,1.38857279158144e-05,0.0041980544897696,.
ASPM,ENST00000367409,.,.,1.78644143137326e-05,0.0049947807428609,.
ZKSCAN5,ENST00000394170,.,.,1.85428917217246e-05,0.0049947807428609,.
SPEN,ENST00000375759,.,.,2.36348157583092e-05,0.0059891506917524,.
VPS18,ENST00000220509,.,.,2.42557571046337e-05,0.0059891506917524,.
CLIP1,ENST00000540338,.,.,3.42714021320787e-05,0.007547791630771,.
PIKFYVE,ENST00000264380,.,.,3.43891957527539e-05,0.007547791630771,.
SYNE2,ENST00000358025,.,.,3.30507632295825e-05,0.007547791630771,.
MKI67,ENST00000368654,.,.,3.75516750415568e-05,0.0079475437962951,.
MYO18A,ENST00000527372,.,.,3.90253115910239e-05,0.0079746205685657,.
ANKRD11,ENST00000301030,.,.,4.25250434113765e-05,0.0084001135751938,.
CEP350,ENST00000367607,.,.,4.57356902630042e-05,0.0087428935644697,.
BARX2,ENST00000281437,.,.,5.57511847667533e-05,0.0103244225289931,.
LRMP,ENST00000354454,.,.,6.20487052348531e-05,0.0111424432491436,.
TFRC,ENST00000360110,.,.,6.44576894859149e-05,0.0112345961145156,.
CCDC93,ENST00000376300,.,.,6.82606196380874e-05,0.0112364564437585,.
PPP1R13L,ENST00000418234,.,.,6.7716282472699e-05,0.0112364564437585,.
TICRR,ENST00000268138,.,.,8.04886620147592e-05,0.0128912381378233,.
SLC23A2,ENST00000379333,.,.,8.35176438872797e-05,0.0130243567809479,.
LIG3,ENST00000378526,.,.,9.00242620628825e-05,0.0136790712047344,.
HIVEP1,ENST00000379388,.,.,0.0001031245825733,0.0142120064262744,.
SALL2,ENST00000327430,.,.,0.0001014572410145,0.0142120064262744,.
TAOK3,ENST00000392533,.,.,9.8546185719472e-05,0.0142120064262744,.
TCF20,ENST00000359486,.,.,0.0001015864651577,0.0142120064262744,.
CHAMP1,ENST00000361283,.,.,0.0001110727661588,0.0148797398608243,.
EIF2S2,ENST00000374980,.,.,0.0001180134616028,0.0148797398608243,.
HNRNPA1,ENST00000340913,.,.,0.0001136266750079,0.0148797398608243,.
PLA2G4A,ENST00000367466,.,.,0.0001164872295089,0.0148797398608243,.
COBL,ENST00000265136,.,.,0.0001367167527179,0.0150033977149321,.
DENND4C,ENST00000602925,.,.,0.000128678199435,0.0150033977149321,.
G6PD,ENST00000393562,.,.,0.0001366982348047,0.0150033977149321,.
KIF24,ENST00000379166,.,.,0.0001344821017426,0.0150033977149321,.
MAP3K2,ENST00000409947,.,.,0.0001262353243026,0.0150033977149321,.
MPRIP,ENST00000395811,.,.,0.0001341703585082,0.0150033977149321,.
RSF1,ENST00000308488,.,.,0.0001267842136152,0.0150033977149321,.
CIC,ENST00000575354,.,.,0.0001401181468773,0.0150970934253682,.
SNCAIP,ENST00000261368,.,.,0.000153105599249,0.0162018532348198,.
CAMK2A,ENST00000398376,.,.,0.0001690779961283,0.0175781790360806,.
USP21,ENST00000368002,.,.,0.0001882829527848,0.0192373237621197,.
TTF1,ENST00000334270,.,.,0.0001991028949783,0.0199980297566439,.
KIT,ENST00000288135,.,.,0.0002216676583553,0.0218933757235588,.
ANXA2,ENST00000332680,.,.,0.0002397144114517,0.0232876656108698,.
SRRM1,ENST00000323848,.,.,0.0002491404190366,0.023435017828749,.
SRSF11,ENST00000370950,.,.,0.0002489948675398,0.023435017828749,.
ALK,ENST00000389048,.,.,0.0002614445876309,0.0242081347859576,.
ADD1,ENST00000264758,.,.,0.0002784077354692,0.0248433357884865,.
RIF1,ENST00000243326,.,.,0.0002808814542403,0.0248433357884865,.
ZMIZ1,ENST00000334512,.,.,0.0002750944972772,0.0248433357884865,.
ITSN2,ENST00000355123,.,.,0.0002886972630519,0.0249440155009832,.
UBR5,ENST00000520539,.,.,0.0002904382500114,0.0249440155009832,.
MC2R,ENST00000327606,.,.,0.0002948003555301,0.0249569558124494,.
ACTN4,ENST00000252699,.,.,0.0003077428179672,0.0256856892855501,.
DIDO1,ENST00000266070,.,.,0.0003274609172128,0.0266083508373162,.
PI4KA,ENST00000255882,.,.,0.0003277775246581,0.0266083508373162,.
CDK13,ENST00000181839,.,.,0.0003584175513644,0.0280652598906165,.
MYH11,ENST00000396324,.,.,0.0003599324589414,0.0280652598906165,.
PPIG,ENST00000260970,.,.,0.0003579555801221,0.0280652598906165,.
ABCF1,ENST00000326195,.,.,0.0003929527099794,0.0301511578720076,.
HIST1H4K,ENST00000357549,.,.,0.0003968596547446,0.0301511578720076,.
BAG3,ENST00000369085,.,.,0.0004108145477086,0.0308162912622948,.
BCR,ENST00000305877,.,.,0.0004168726878021,0.0308798443489425,.
ZNF354A,ENST00000335815,.,.,0.0004319142362193,0.0315990588127849,.
FAM178A,ENST00000370269,.,.,0.0004495836197722,0.0320991871177141,.
PXDN,ENST00000252804,.,.,0.0004457348762465,0.0320991871177141,.
SUPT6H,ENST00000314616,.,.,0.0004573857346472,0.0322674745657099,.
PTEN,ENST00000371953,.,.,0.0004816807372005,0.0335816476311848,.
THADA,ENST00000405006,.,.,0.0005066047046596,0.0349085986024745,.
CNTRL,ENST00000373855,.,.,0.0005292114128854,0.0355196684995955,.
ITGA6,ENST00000409080,.,.,0.0005258181684532,0.0355196684995955,.
PER1,ENST00000317276,.,.,0.0005334543530988,0.0355196684995955,.
CAP1,ENST00000372797,.,.,0.0005437443330373,0.0358025435286613,.
MRPL37,ENST00000360840,.,.,0.0005923725081232,0.0385758184960291,.
PLCB4,ENST00000378501,.,.,0.0006293529491477,0.0405385388766259,.
MED13L,ENST00000281928,.,.,0.0006464222612438,0.0407512529100754,.
PPP1R3A,ENST00000284601,.,.,0.0006539218782417,0.0407512529100754,.
PTPRF,ENST00000359947,.,.,0.0006601620451176,0.0407512529100754,.
SIN3A,ENST00000394947,.,.,0.0006527146135372,0.0407512529100754,.
AKAP4,ENST00000358526,.,.,0.0007054971835892,0.0416772401963822,.
B4GALNT4,ENST00000329962,.,.,0.00070486749626,0.0416772401963822,.
EGFR,ENST00000275493,.,.,0.000701221524668,0.0416772401963822,.
NUMA1,ENST00000393695,.,.,0.0007103275835022,0.0416772401963822,.
ZNF609,ENST00000326648,.,.,0.0007054787459136,0.0416772401963822,.
ASTN1,ENST00000361833,.,.,0.0007345073442748,0.0426734364918921,.
EHMT1,ENST00000460843,.,.,0.0007487720615614,0.0429625276155597,.
ROBO1,ENST00000464233,.,.,0.0007539829348663,0.0429625276155597,.
RSBN1L,ENST00000334955,.,.,0.0007617949403462,0.0429942553951609,.
FLII,ENST00000327031,.,.,0.0007909187758729,0.0438035950076926,.
LZTS2,ENST00000370220,.,.,0.0007883171614251,0.0438035950076926,.
PPP1R10,ENST00000376511,.,.,0.0008256874713862,0.0453057773651398,.
FMO5,ENST00000254090,.,.,0.0008533903739396,0.0463962509721693,.
CASS4,ENST00000371336,.,.,0.0008714495686424,0.0469473649434122,.
ZBTB16,ENST00000335953,.,.,0.0008982525421382,0.0479553564388415,.
VWA3B,ENST00000477737,.,.,0.0009108856485562,0.0481956102977152,.
GALNT10,ENST00000297107,.,.,0.0009200091766777,0.0482475608937383,.
ASAP2,ENST00000281419,.,.,0.0009452269622322,0.0491352191069136,.
ACP1,ENST00000272067,.,.,0.0009975000087406,0.0509114856910748,.
ATXN2L,ENST00000395547,.,.,0.0010223534926152,0.0509114856910748,.
GTF3C4,ENST00000372146,.,.,0.0010071673190142,0.0509114856910748,.
PHLDB2,ENST00000431670,.,.,0.0009964957292981,0.0509114856910748,.
TNKS1BP1,ENST00000532437,.,.,0.0010217215078552,0.0509114856910748,.
ZNF423,ENST00000561648,.,.,0.0010372888744151,0.0512247822482022,.
CHD8,ENST00000399982,.,.,0.0010697751787895,0.0519886120426578,.
SPTAN1,ENST00000372739,.,.,0.001070302171651,0.0519886120426578,.
TERF1,ENST00000276603,.,.,0.0010802709269423,0.052046223683417,.
ACVR1,ENST00000263640,.,.,0.0010995967533615,0.052550083551777,.
EPHA1,ENST00000275815,.,.,0.0011359212558761,0.0538195042456366,.
UXS1,ENST00000283148,.,.,0.0011443229049865,0.0538195042456366,.
AADAC,ENST00000232892,.,.,0.0011676380068116,0.0544836443178398,.
ATP2B4,ENST00000357681,.,.,0.0011948674788411,0.0553186303094759,.
GATA1,ENST00000376670,.,.,0.0012113946187553,0.0556490272150727,.
CLGN,ENST00000325617,.,.,0.0012329663822188,0.055775257870448,.
NRAS,ENST00000369535,.,.,0.0012307299537415,0.055775257870448,.
WNK2,ENST00000297954,.,.,0.0012487507263044,0.0560613394248517,.
NCAPH2,ENST00000299821,.,.,0.0012698033209343,0.0565778532320087,.
ACTB,ENST00000331789,.,.,0.0012891889510613,0.0567777296705987,.
ATP6V0A2,ENST00000330342,.,.,0.0013276409730292,0.0567777296705987,.
CRAMP1L,ENST00000397412,.,.,0.0013457886592576,0.0567777296705987,.
INPP4A,ENST00000074304,.,.,0.0013051145734046,0.0567777296705987,.
LIMA1,ENST00000394943,.,.,0.0013111852213045,0.0567777296705987,.
POLQ,ENST00000264233,.,.,0.001336024340932,0.0567777296705987,.
PPP1R12A,ENST00000450142,.,.,0.001350938218622,0.0567777296705987,.
SCML2,ENST00000251900,.,.,0.0013381351513368,0.0567777296705987,.
TMPO,ENST00000556029,.,.,0.0013862671323672,0.0578522466648478,.
PBXIP1,ENST00000368463,.,.,0.0013976766795242,0.0579205035165096,.
PABPC1,ENST00000318607,.,.,0.0014234282692867,0.0581740408537485,.
SLC7A6OS,ENST00000263997,.,.,0.0014180865606919,0.0581740408537485,.
EDAR,ENST00000258443,.,.,0.0014525875963417,0.0589591376432947,.
SIPA1L1,ENST00000555818,.,.,0.0014880964838234,0.0595841875887691,.
TARDBP,ENST00000240185,.,.,0.0014879371364146,0.0595841875887691,.
CDC42EP4,ENST00000335793,.,.,0.0014985575553148,0.0596003494818495,.
GAB1,ENST00000262995,.,.,0.001514512074955,0.0598333237078906,.
NIPBL,ENST00000282516,.,.,0.0015392611011543,0.0604083528837133,.
GLI3,ENST00000395925,.,.,0.0015817534118528,0.0616675705173665,.
DGKI,ENST00000288490,.,.,0.0017268669265627,0.0668850549464775,.
AR,ENST00000374690,.,.,0.0017848301838899,0.0669866798195785,.
DUSP9,ENST00000342782,.,.,0.0017707733047389,0.0669866798195785,.
FKBP3,ENST00000216330,.,.,0.0018078523428188,0.0669866798195785,.
KDM4B,ENST00000159111,.,.,0.0018425293301706,0.0669866798195785,.
KRT20,ENST00000167588,.,.,0.0018386129260801,0.0669866798195785,.
MPHOSPH10,ENST00000244230,.,.,0.0017707664624666,0.0669866798195785,.
PHF3,ENST00000262043,.,.,0.0018234495493741,0.0669866798195785,.
SDCBP2,ENST00000360779,.,.,0.0018078523573397,0.0669866798195785,.
SETDB1,ENST00000271640,.,.,0.0018347129088413,0.0669866798195785,.
TNFAIP3,ENST00000237289,.,.,0.0018347127764233,0.0669866798195785,.
LMTK2,ENST00000297293,.,.,0.0019265199298794,0.0690475963767537,.
NCOA6,ENST00000374796,.,.,0.0019341716163586,0.0690475963767537,.
NEK9,ENST00000238616,.,.,0.0019201243449303,0.0690475963767537,.
CTCF,ENST00000264010,.,.,0.0019724663479152,0.0691647075606244,.
IMPDH2,ENST00000326739,.,.,0.0019503259914401,0.0691647075606244,.
RRP8,ENST00000254605,.,.,0.0019724662388492,0.0691647075606244,.
DNMT3A,ENST00000264709,.,.,0.0019905309998208,0.0693875688525789,.
BRWD1,ENST00000333229,.,.,0.0020026943478632,0.0694033140668849,.
SALL4,ENST00000217086,.,.,0.0020612054804404,0.0710157190528507,.
FLG,ENST00000368799,.,.,0.0020879627796659,0.0713553375537486,.
TTN,ENST00000589042,.,.,0.0020951449096105,0.0713553375537486,.
PBX2,ENST00000375050,.,.,0.0021334367246642,0.0722442630306316,.
RBL1,ENST00000598590,.,.,0.0021741073083163,0.0732031813016068,.
EIF2A,ENST00000460851,.,.,0.0022069952742388,0.0734755842423569,.
MOV10L1,ENST00000262794,.,.,0.0022014475424304,0.0734755842423569,.
TUBA3E,ENST00000312988,.,.,0.0022408574002378,0.0741861505799414,.
FUBP1,ENST00000370768,.,.,0.0022547421050609,0.0742311206366176,.
XPO5,ENST00000265351,.,.,0.0023449793747688,0.0767754020711613,.
TUBB2A,ENST00000333628,.,.,0.0023584904921871,0.0767934871247305,.
TSEN54,ENST00000333213,.,.,0.0024465891252619,0.0792267057721451,.
MTMR6,ENST00000540661,.,.,0.0024602331689369,0.0792355530386975,.
CEP72,ENST00000264935,.,.,0.0024949944196698,0.0793860158876174,.
NUPL2,ENST00000258742,.,.,0.0025452823183677,0.0793860158876174,.
POLA1,ENST00000379059,.,.,0.0025379792204551,0.0793860158876174,.
RGPD4,ENST00000408999,.,.,0.0025307160388458,0.0793860158876174,.
RPAP3,ENST00000005386,.,.,0.0024833024322242,0.0793860158876174,.
TNRC6A,ENST00000395799,.,.,0.0025074446199932,0.0793860158876174,.
USP42,ENST00000306177,.,.,0.0025869422356809,0.0802629303070422,.
APC,ENST00000457016,.,.,0.00266790362395,0.081076907053989,.
SESN2,ENST00000253063,.,.,0.0026440523653764,0.081076907053989,.
SNX29,ENST00000566228,.,.,0.0026653506418896,0.081076907053989,.
TK1,ENST00000301634,.,.,0.0026519569279299,0.081076907053989,.
AIFM2,ENST00000307864,.,.,0.0027335597858684,0.0815980453063186,.
CKAP2,ENST00000378037,.,.,0.0027538996053431,0.0815980453063186,.
EIF2D,ENST00000271764,.,.,0.0027168729991371,0.0815980453063186,.
FGFR1OP,ENST00000366847,.,.,0.0027448343478785,0.0815980453063186,.
SLC4A10,ENST00000446997,.,.,0.002725203519595,0.0815980453063186,.
CTTNBP2,ENST00000160373,.,.,0.0028490442647088,0.0817943407982974,.
IK,ENST00000417647,.,.,0.0028571428164388,0.0817943407982974,.
MACC1,ENST00000400331,.,.,0.002856344708054,0.0817943407982974,.
NAV1,ENST00000367296,.,.,0.0027941795778691,0.0817943407982974,.
OSMR,ENST00000274276,.,.,0.002798052951745,0.0817943407982974,.
SART1,ENST00000312397,.,.,0.0028571428527248,0.0817943407982974,.
UBTF,ENST00000302904,.,.,0.0028248586770158,0.0817943407982974,.
NUCB1,ENST00000405315,.,.,0.0028747541529788,0.0819028514930417,.
ERBB2,ENST00000269571,.,.,0.0029217949755299,0.0819404079784899,.
SNRNP70,ENST00000598441,.,.,0.0029313814531623,0.0819404079784899,.
ZFC3H1,ENST00000378743,.,.,0.0029094272496158,0.0819404079784899,.
ZW10,ENST00000200135,.,.,0.0029265805154402,0.0819404079784899,.
MYRIP,ENST00000302541,.,.,0.0030125659929732,0.0838143947153037,.
MAP3K7,ENST00000369329,.,.,0.0030617618022952,0.0843906997227985,.
ZNF24,ENST00000261332,.,.,0.0030513373336685,0.0843906997227985,.
GPR37L1,ENST00000367282,.,.,0.0031149310166992,0.0846746844264198,.
ING5,ENST00000313552,.,.,0.0030934511525253,0.0846746844264198,.
SNRPD1,ENST00000300413,.,.,0.003114930966712,0.0846746844264198,.
AKR1B10,ENST00000359579,.,.,0.0031476951840221,0.0849161162558649,.
MUTYH,ENST00000372098,.,.,0.0031811302411073,0.0849161162558649,.
SUZ12,ENST00000322652,.,.,0.0031676743671417,0.0849161162558649,.
TTLL4,ENST00000392102,.,.,0.0031699096242259,0.0849161162558649,.
