Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
AADACL4,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.001831502,0.011904762,1.760989011,6.0,1224.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.871049064,0.997770927,0.469833333,0.0,6.0,6.0,0.760456274,1.0,0.799360512,0.978371888,17.14990586,454.0,0.02278783,0.0,0.0,0.9281819,0.014205764,0.9281819,0.014205764,-4.193335,1.857673,0.473164647,0.023149938,0.0
ABCA4,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.001831502,0.011904762,1.760989011,4.0,6822.0,0.25,0.0,0.0,0.75,0.0,1.0,0.0,0.0,1.0,0.460710853,0.601,0.0,1.5,1.5,0.901713255,1.0,0.795544948,0.977508297,18.9671404,370.0,-0.001895926,0.0,1.0,0.57,0.011714999,0.71374997,0.011263124,-0.58,1.857673,0.948647352,1.72e-05,0.0
ACTA1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.001831502,0.011904762,1.760989011,2.0,1134.0,0.333333333,0.0,0.0,0.333333333,0.0,1.0,0.333333333,0.0,1.0,0.472894773,0.510333333,0.0,0.5,1.0,0.616522811,1.0,0.242072137,0.585456187,17.89300046,361.0,0.02946144,0.00107713,109.0,0.658,0.0073847,0.98749995,0.00260825,-0.66,1.857673,0.689789304,0.037403658,0.0
ACTL8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.001831502,0.011904762,1.760989011,2.0,1101.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.388837953,0.3755,0.0,2.0,2.0,0.138217001,1.0,0.223613596,0.55855003,17.93135099,416.0,0.02650356,0.0,1.0,-2.5175001,0.25563494,0.075,6.05e-05,-5.11,0.498002,0.473164647,0.023149938,0.0
ACTN2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.001831502,0.011904762,1.760989011,2.0,2685.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.845308538,0.997555012,0.611246944,0.911398344,18.70448356,682.0,-0.009612596,0.000246355,62.0,4.8299998,0.6014513,4.8299998,0.6014513,-4.193335,1.857673,1.086288697,0.31788615,0.0
ADAM15,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.001831502,0.011904762,1.760989011,2.0,2592.0,0.333333333,0.0,0.0,0.666666667,0.0,1.0,0.0,0.0,1.0,0.806553315,0.252,0.0,1.0,1.0,0.745712155,1.0,0.417014178,0.781749398,20.69431707,214.0,0.04370952,7.29e-05,31.0,1.0083333,0.033683763,1.4459999,0.027738296,-1.18,1.857673,0.097736682,0.004301124,0.0
ADAM30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001831502,0.011904762,1.760989011,1.0,2373.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.402235166,0.222,0.0,1.0,1.0,0.259201659,1.0,0.744047619,0.964025478,18.57346302,560.0,0.009313993,0.0,0.0,1.735,0.047124494,1.735,0.047124494,-4.193335,1.857673,1.785559181,0.023149938,0.0
ADAMTSL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.001831502,0.011904762,1.760989011,1.0,3225.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.79491256,1.0,0.218627022,0.551024944,20.49291817,152.0,0.03127347,0.000588745,107.0,0.995,0.0198005,0.995,0.0198005,-4.193335,1.857673,0.473164647,0.023149938,0.0
ADAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.001831502,0.011904762,1.760989011,1.0,3681.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.071002556,1.0,0.575373993,0.893403353,20.87831066,403.0,0.03639176,2.77e-05,39.0,1.735,0.047124494,1.735,0.047124494,-4.193335,1.857673,0.017485816,0.023149938,0.0
ADCK3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.001831502,0.011904762,1.760989011,3.0,1944.0,0.666666667,0.0,0.0,0.333333333,0.0,1.0,0.0,0.0,1.0,0.257318631,0.324,0.0,0.333333333,0.333333333,0.538502962,1.0,0.747943156,0.965167014,18.64932495,481.0,0.004611321,0.000125982,13.0,0.9416667,0.028298964,1.5825,0.030287582,-0.34,0.001352,0.473164647,0.023149938,0.0
