Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
ACTRT2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1134.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.281287165,0.887,0.0,1.0,1.0,0.526038927,1.0,0.301386377,0.662857803,18.23261439,634.0,0.01910433,0.0,0.0,0.734031914,1.008729274,2.521005033,0.816653244,-4.726129792,1.423415309,0.470615325,0.029112603,0.0
ADAM15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2592.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.745712155,1.0,0.417014178,0.781749398,20.69431707,214.0,0.04370952,7.29e-05,31.0,-0.205,0.0008405,0.0,0.8327912,-0.41,1.4267238,0.123651193,0.029112603,0.0
ADAM30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2373.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.643843444,0.63,0.0,1.0,1.0,0.259201659,1.0,0.744047619,0.964025478,18.57346302,560.0,0.009313993,0.0,0.0,0.04,0.000162,0.13,0.8327912,-0.05,1.4267238,1.290530632,0.029112603,0.0
ADAMTSL4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3225.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.666402138,0.49,0.0,1.0,1.0,0.79491256,1.0,0.218627022,0.551024944,20.49291817,152.0,0.03127347,0.000588745,107.0,18.645,6.716113,18.645,6.716113,-4.7897767,1.4267238,0.470615325,0.029112603,0.0
ADORA1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,981.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.35971223,0.727500334,18.83931729,453.0,0.03682687,9.13e-06,7.0,0.635,0.008844501,1.3,0.8327912,-0.03,1.4267238,1.649827811,0.029112603,0.0
AK5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1689.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.274859119,0.101,0.0,1.0,1.0,0.812347685,1.0,0.161264312,0.455525007,18.88673047,536.0,-0.008071406,1.82e-06,8.0,0.22,5e-05,0.22,5e-05,-4.7897767,1.4267238,0.124753,0.029112603,0.0
ANGPTL1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1476.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.251987499,0.902,0.0,1.0,1.0,1.0,1.0,0.653594771,0.931547539,19.29629145,458.0114566,0.019238765,0.0,0.0,16.44,5.3203214,16.44,5.3203214,-4.7897767,1.4267238,0.901915626,0.029112603,0.0
ARHGEF16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2130.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.327795487,0.684,0.0,1.0,1.0,0.848176421,1.0,0.525210084,0.863422761,17.92258614,483.0,0.02143424,1.54e-06,5.0,-8.5200004,1.5382581,0.25,0.8327912,-17.29,1.4267238,1.642427577,0.029112603,0.0
ASTN1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3885.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.693144111,0.524,0.0,1.0,1.0,0.490677134,1.0,0.255362615,0.603950645,12.67655899,940.0,-0.009137709,0.0,0.0,29.32,17.193246,29.32,17.193246,-4.7897767,1.4267238,0.470615325,0.029112603,0.0
ATP13A2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3543.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.598595152,0.081,0.0,1.0,1.0,0.868055556,1.0,0.64977258,0.929910887,19.37297726,221.0,0.05227663,0.000615106,54.0,-0.27,0.001922,0.04,0.8327912,-0.58,1.4267238,0.071926466,0.029112603,0.0
ATP1A2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3063.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.295155422,0.9665,0.0,1.0,2.0,0.992063492,0.13288672,0.028875863,0.025183695,19.67268448,386.0,0.02299702,1.02e-05,15.0,10.6,4.10515,10.6,4.10515,-4.7897767,1.4267238,0.470615325,0.029112603,0.0
BCAR3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2478.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.302651567,0.695,0.0,1.0,1.0,0.891265597,1.0,0.059157596,0.226428673,19.18421336,173.0,0.009017685,4.15e-06,11.0,-2.74,0.10857801,2.5349716,0.8327912,-2.74,0.10857801,0.156939613,0.029112603,0.0
BLZF1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1203.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.281287165,0.752,0.0,1.0,1.0,0.279251606,1.0,0.965250965,0.999389135,18.12716915,491.0,0.007203025,0.000109794,50.0,-0.235,8.45e-05,2.5349716,0.8327912,-0.235,8.45e-05,1.733020023,0.029112603,0.0
C1orf127,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2472.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.454620293,0.151,0.0,1.0,1.0,0.06569439,1.0,0.84317032,0.987003626,19.42210605,307.0,0.03305037,0.0,0.0,-1.7549999,0.06020449,2.5349716,0.8327912,-1.7549999,0.06020449,1.573462653,0.029112603,0.0
CD46,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1200.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.032993805,0.077,0.0,1.0,1.0,0.317460317,1.0,0.689655172,0.945905901,18.29552771,372.0,0.007994274,8.8e-06,10.0,16.44,5.3203214,16.44,5.3203214,-4.7897767,1.4267238,0.05983835,0.029112603,0.0
CHD5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5865.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.327795487,0.384,0.0,1.0,1.0,0.113430127,1.0,0.574382539,0.892854486,19.24392194,240.0,0.03039633,5.12e-07,16.0,0.25000002,0.001352,0.51,0.8327912,-0.01,1.4267238,0.082728158,0.029112603,0.0
CLSTN1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2946.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.406785089,0.77,0.0,2.0,2.0,0.92936803,0.028870861,0.845454283,0.11503479,19.2282515,177.0,0.03069652,6.18e-05,14.0,0.047500012,0.014944251,0.8450001,0.011704501,-0.75,0.007688,0.067499085,0.001886788,0.0
CNR2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1083.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.507999227,0.046,0.0,1.0,1.0,0.812347685,1.0,0.604594921,0.908825028,19.81646574,254.0,0.02297905,0.0,0.0,1.9350002,0.072580506,1.9350002,0.072580506,-4.7897767,1.4267238,0.470615325,0.029112603,0.0
CNST,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2178.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.147810901,0.135,0.0,1.0,1.0,0.932835821,1.0,0.313676286,0.677350615,18.66820912,346.0,0.003618809,0.000139117,13.0,13.07,3.596562,26.48,0.8327912,-0.34,1.4267238,0.470615325,0.029112603,0.0
CSF3R,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2592.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.798786143,0.371,0.0,1.0,1.0,0.797448166,1.0,0.00796,0.046433277,19.1482576,347.0,0.03074992,7.58e-06,13.0,2.615,0.12852451,2.615,0.12852451,-4.7897767,1.4267238,1.331052664,0.029112603,0.0
CSMD2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,10464.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.610651163,0.6175,0.0,2.0,2.0,0.460405157,1.0,0.145306597,0.425589844,17.07075094,907.0,0.01593501,0.0,1.0,0.3375,0.007911584,0.58333334,0.008241334,-0.4,1.4267238,0.239592483,0.000691955,0.0
CYB5RL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,948.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.347199168,0.913,0.0,1.0,1.0,1.0,1.0,0.078914141,0.279308305,18.82877801,313.0,0.02603222,0.0,0.0,0.155,0.0002645,0.155,0.0002645,-4.7897767,1.4267238,0.470615325,0.029112603,0.0
DCAF6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2856.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.274859119,0.676,0.0,1.0,1.0,0.930232558,1.0,0.407000407,0.772869798,18.94855117,417.0,0.01250338,5.99e-05,29.0,0.19,0.000392,0.19,0.000392,-4.7897767,1.4267238,0.470615325,0.029112603,0.0
DCST1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2121.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.765331006,0.03,0.0,1.0,1.0,0.370782351,1.0,0.594177065,0.903492522,20.69431707,214.0,0.04370952,2.32e-08,2.0,1.7549999,0.0345845,1.7549999,0.0345845,-4.7897767,1.4267238,1.87156566,0.029112603,0.0
DMAP1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1404.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.432412368,0.717,0.0,1.0,1.0,0.688231246,1.0,0.771010023,0.971514191,19.87701417,211.0,0.02921159,5.85e-05,55.0,-8.5200004,1.5382581,0.25,0.8327912,-17.29,1.4267238,0.080981259,0.029112603,0.0
DNAJC8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,762.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.246885834,0.629,0.0,1.0,1.0,1.0,1.0,0.04316671,0.178826111,19.57184595,213.0,0.03315278,3.82e-05,24.0,0.665,0.0073205,0.665,0.0073205,-4.7897767,1.4267238,0.470615325,0.029112603,0.0
DNM3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2592.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.274859119,0.738,0.0,1.0,1.0,0.274876306,1.0,0.097323601,0.324059733,18.73158321,643.0,0.006082385,5.48e-05,33.0,26.865,14.007923,26.865,14.007923,-4.7897767,1.4267238,0.989525396,0.029112603,0.0
DSTYK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2790.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,1.647202341,0.5365,0.0,1.0,2.0,0.538213132,1.0,0.212134069,0.54105575,19.44937679,277.0,0.03876847,1.95e-05,19.0,4.9375,0.45176293,4.9375,0.45176293,-4.7897767,1.4267238,0.470615325,0.029112603,0.0
ECM1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1704.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0,1.299532163,0.552,0.0,1.0,2.0,0.786782061,1.0,0.379362671,0.747064726,20.54772862,163.0,0.04252749,3.94e-05,15.0,8.215,2.8756188,33.65,0.8327912,-0.26333334,0.000500333,0.864113578,0.007666945,0.0
EPS15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2691.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.791937141,0.551,0.0,1.0,1.0,0.516528926,1.0,0.639795266,0.925532343,19.11788352,251.0,0.01062201,0.000931058,118.0,2.625,0.1017005,2.625,0.1017005,-4.7897767,1.4267238,0.111783436,0.029112603,0.0
EXOSC10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2658.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.791708262,0.15,0.0,1.0,1.0,0.066983723,1.0,0.3756574,0.743455192,19.13862929,408.0,0.03360572,0.000190889,61.0,-0.19,0.008191999,0.45,0.8327912,-0.83,1.4267238,0.282662813,0.029112603,0.0
FAM46C,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1176.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.414837099,0.62,0.0,1.0,1.0,0.648929267,1.0,0.24354603,0.587542455,18.39241638,557.0,0.01634723,6.99e-06,8.0,3.5949998,0.30031248,7.47,0.8327912,-0.28,1.4267238,0.060701879,0.029112603,0.0
FAM78B,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,786.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.083268066,0.415,0.0,1.0,1.0,0.803212851,1.0,0.550055006,0.878843232,18.28993107,733.0,-0.01151991,0.0,0.0,16.815,5.668344,33.65,0.8327912,-0.02,1.4267238,0.470615325,0.029112603,0.0
FGGY,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1728.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.257318631,0.987,0.0,1.0,1.0,0.469924812,1.0,0.801282051,0.978799896,15.8864394,728.0,0.004422899,0.0,1.0,0.085,4.05e-05,0.085,4.05e-05,-4.7897767,1.4267238,0.470615325,0.029112603,0.0
