gene,transcript,protein_change,score,pvalue,qvalue,info
FOXA1,ENST00000250448,.,.,9.99990000099999e-06,0.0177018229817702,.
TP53,ENST00000269305,.,.,9.99990000099999e-06,0.0177018229817702,.
SCN1A,ENST00000303395,.,.,9.99990000099999e-06,0.0177018229817702,.
PTEN,ENST00000371953,.,.,9.99990000099999e-06,0.0177018229817702,.
APC,ENST00000457016,.,.,9.99990000099999e-06,0.0177018229817702,.
SPOP,ENST00000393331,.,.,1.9999800002e-05,0.0295030383029503,.
LHX3,ENST00000371746,.,.,5.99994000059999e-05,0.0758649556361579,.
SMAD4,ENST00000342988,.,.,7.99992000079999e-05,0.0885091149088509,.
TUBB4A,ENST00000264071,.,.,9.99990000099999e-05,0.0983434610098343,.
COL5A3,ENST00000264828,.,.,0.000179998200018,0.159316406835932,.
IDH1,ENST00000415913,.,.,0.000409995900041,0.317157661756716,.
SMARCA1,ENST00000371122,.,.,0.000429995700043,0.317157661756716,.
SCN5A,ENST00000413689,.,.,0.0006099939000609,0.398291017089829,.
KAL1,ENST00000262648,.,.,0.0006299937000629,0.398291017089829,.
NLRP3,ENST00000336119,.,.,0.0009099909000909,0.519991050089499,.
KPNA1,ENST00000344337,.,.,0.0009399906000939,0.519991050089499,.
ATM,ENST00000278616,.,.,0.001189988100119,0.567262963734,.
USP28,ENST00000003302,.,.,0.00119998800012,0.567262963734,.
RNF43,ENST00000584437,.,.,0.001289987100129,0.567262963734,.
KDM6A,ENST00000377967,.,.,0.001369986300137,0.567262963734,.
ASH1L,ENST00000392403,.,.,0.001379986200138,0.567262963734,.
TSC2,ENST00000219476,.,.,0.001409985900141,0.567262963734,.
PFKFB1,ENST00000375006,.,.,0.00159998400016,0.615715581974616,.
FOXD2,ENST00000334793,.,.,0.001859981400186,0.68329036709633,.
FRYL,ENST00000358350,.,.,0.001929980700193,0.68329036709633,.
FBN1,ENST00000316623,.,.,0.002379976200238,0.771293715634273,.
PCNXL2,ENST00000258229,.,.,0.00239997600024,0.771293715634273,.
KDM5A,ENST00000399788,.,.,0.002439975600244,0.771293715634273,.
SLC5A2,ENST00000330498,.,.,0.002529974700253,0.772165726618597,.
CDKN1B,ENST00000228872,.,.,0.002809971900281,0.829035376312904,.
GLRA2,ENST00000218075,.,.,0.003039969600304,0.867960352654539,.
TINAG,ENST00000259782,.,.,0.003149968500315,0.871261599884002,.
MYH7,ENST00000355349,.,.,0.003249967500325,0.871680677132623,.
INPP5E,ENST00000371712,.,.,0.003669963300367,0.899252607473926,.
VPS52,ENST00000445902,.,.,0.003729962700373,0.899252607473926,.
DOPEY1,ENST00000349129,.,.,0.004089959100409,0.899252607473926,.
NUP160,ENST00000378460,.,.,0.004139958600414,0.899252607473926,.
PI4K2A,ENST00000370649,.,.,0.004169958300417,0.899252607473926,.
COL17A1,ENST00000353479,.,.,0.004219957800422,0.899252607473926,.
SGSH,ENST00000326317,.,.,0.004239957600424,0.899252607473926,.
ZMYM3,ENST00000353904,.,.,0.004339956600434,0.899252607473926,.
PCDH19,ENST00000373034,.,.,0.004589954100459,0.899252607473926,.
NXN,ENST00000336868,.,.,0.004739952600474,0.899252607473926,.
OCRL,ENST00000371113,.,.,0.004829951700483,0.899252607473926,.
STAT3,ENST00000264657,.,.,0.0048799512004879,0.899252607473926,.
KIAA0319,ENST00000378214,.,.,0.0048799512004879,0.899252607473926,.
ATRX,ENST00000373344,.,.,0.004959950400496,0.899252607473926,.
KIAA2026,ENST00000399933,.,.,0.004979950200498,0.899252607473926,.
GRIN3A,ENST00000361820,.,.,0.0050399496005039,0.899252607473926,.
CDK12,ENST00000447079,.,.,0.005079949200508,0.899252607473926,.
ARSE,ENST00000381134,.,.,0.0054699453005469,0.927807903388147,.
VHL,ENST00000256474,.,.,0.0056299437005629,0.927807903388147,.
