Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
ABCA4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003407155,0.010221465,1.36967632,1.0,6822.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.295155422,0.682,0.0,1.0,1.0,0.901713255,1.0,0.795544948,0.977508297,18.9671404,370.0,-0.001895926,0.0,1.0,0.1,5e-05,0.1,5e-05,-1.4582594,0.55860803,0.936962753,0.015208417,0.0
ABL2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.003407155,0.010221465,1.36967632,1.0,3549.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.760668514,0.1945,0.0,0.5,0.5,0.238435861,1.0,0.412541254,0.777813147,18.3253933,301.0,0.005576853,0.000133221,35.0,0.4,0.001825333,0.4,0.001825333,-1.4582594,0.55860803,0.75025902,0.0,0.0
ACOT7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003407155,0.010221465,1.36967632,1.0,1143.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.268735747,0.754,0.0,1.0,1.0,0.639795266,1.0,0.952380952,0.998847775,19.29578126,176.0,0.02580471,8.44e-05,25.0,0.1,8e-06,0.1,8e-06,-1.4582594,0.55860803,0.025063333,0.015208417,0.0
ACTA1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003407155,0.010221465,1.36967632,1.0,1134.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.616522811,1.0,0.242072137,0.585456187,17.89300046,361.0,0.02946144,0.00107713,109.0,3.85,0.28124999,3.85,0.28124999,-1.4582594,0.55860803,0.559685193,0.015208417,0.0
ADAM15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003407155,0.010221465,1.36967632,1.0,2592.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.357852181,0.469,0.0,1.0,1.0,0.745712155,1.0,0.417014178,0.781749398,20.69431707,214.0,0.04370952,7.29e-05,31.0,1.75,0.057122007,1.75,0.057122007,-1.4582594,0.55860803,0.094738764,0.015208417,0.0
ADAMTSL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003407155,0.010221465,1.36967632,1.0,3225.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.79491256,1.0,0.218627022,0.551024944,20.49291817,152.0,0.03127347,0.000588745,107.0,3.065,0.1431125,3.065,0.1431125,-1.4582594,0.55860803,0.448782935,0.015208417,0.0
ADAR,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003407155,0.010221465,1.36967632,1.0,3681.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.51304611,0.071,0.0,1.0,1.0,0.071002556,1.0,0.575373993,0.893403353,20.87831066,403.0,0.03639176,2.77e-05,39.0,22.309999,9.8301776,22.309999,9.8301776,-1.4582594,0.55860803,0.017171014,0.015208417,0.0
AGL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.003407155,0.010221465,1.36967632,1.0,4599.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.728862974,1.0,0.183486239,0.494608369,18.14422207,595.0,0.008860483,0.000157151,47.0,-0.03,0.000162,0.06,0.13277009,-0.12,0.55860803,0.070303687,0.015208417,0.0
AGRN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.003407155,0.010221465,1.36967632,1.0,6138.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,1.003466926,0.678,0.0,1.0,2.0,0.677506775,1.0,0.201207243,0.52382693,20.91084399,239.0,0.01491109,9.33e-06,10.0,0.213990225,0.227498166,0.787802644,0.132770087,-1.458259358,0.558608027,0.448782935,0.015208417,0.0
AJAP1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.003407155,0.010221465,1.36967632,2.0,1236.0,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,1.306553511,0.048,0.0,0.5,0.5,0.141043724,1.0,0.301295571,0.66274888,12.47556777,921.0,0.003660757,1.97e-06,3.0,0.22,0.000375333,0.30333332,0.000146333,-0.03,0.55860803,0.188047132,0.000677991,0.0
