Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
AADACL4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1224.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.809164885,0.126,0.0,1.0,1.0,0.760456274,1.0,0.799360512,0.978371888,17.14990586,454.0,0.02278783,0.0,0.0,0.37,2.3331327,0.37,0.8751222,-11.0368975,6.2055234,0.395326405,0.023897949,0.0
ABCD3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1980.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.938094009,0.176,0.0,1.0,1.0,0.460193281,1.0,0.034878449,0.151926552,18.81072099,348.0,-0.007712561,0.000162277,50.0,0.14,2.3331327,0.14,0.8751222,-11.0368975,6.2055234,0.127451188,0.023897949,0.0
ACADM,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1278.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.576923922,0.073,0.0,1.0,1.0,0.908265213,1.0,0.134246208,0.403823304,17.22066078,578.0,-0.01324586,8.21e-05,49.0,-24.780001,12.261152,5.299435,0.8751222,-24.780001,12.261152,0.016897015,0.023897949,0.0
ACAP3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2505.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.318932605,0.787,0.0,1.0,1.0,1.0,1.0,0.741289844,0.963205024,20.73397936,273.0,0.02773012,2.24e-08,2.0,1.0957763,2.367219142,5.342891263,0.873356777,-11.10881068,6.225359422,0.395326405,0.023897949,0.0
ACTL8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1101.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.091587742,0.068,0.0,1.0,1.0,0.138217001,1.0,0.223613596,0.55855003,17.93135099,416.0,0.02650356,0.0,1.0,-28.820002,16.600323,5.299435,0.8751222,-28.820002,16.600323,0.395326405,0.023897949,0.0
ADAMTSL4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3225.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.450820776,0.068,0.0,1.0,1.0,0.79491256,1.0,0.218627022,0.551024944,20.49291817,152.0,0.03127347,0.000588745,107.0,-0.07999999,0.0008,0.12,0.8751222,-0.28,6.2055234,0.395326405,0.023897949,0.0
ADCY10,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4833.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.551909204,0.622,0.0,1.0,1.0,0.079624174,1.0,0.637755102,0.924617935,19.02812919,238.0,0.01328722,0.0,0.0,5.35,0.53872205,5.35,0.53872205,-11.0368975,6.2055234,0.395326405,0.023897949,0.0
AHCTF1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6828.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.729838652,0.105,0.0,2.0,2.0,0.773993808,1.0,0.168776371,0.469060032,18.68886838,405.0,0.004111425,4.12e-05,15.0,5.4875,0.4735749,7.47,0.47454406,-0.46,6.2055234,0.588097189,0.004161521,0.0
AHDC1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4812.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.509111539,0.513,0.0,1.0,1.0,0.513874615,1.0,0.038908992,0.165228197,19.4932697,217.0,0.02515438,3.12e-05,10.0,-9.69,1.94045,0.16,0.8751222,-19.54,6.2055234,0.395326405,0.023897949,0.0
ARHGAP30,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3306.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.381402307,0.67,0.0,1.0,1.0,0.341296928,1.0,0.625782228,0.919119429,19.39421376,250.0,0.02271094,0.0,0.0,7.655,1.1265006,7.655,1.1265006,-11.0368975,6.2055234,0.395326405,0.023897949,0.0
ARHGEF10L,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3840.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.357852181,0.6,0.0,1.0,1.0,0.035991938,1.0,0.520020801,0.860055365,18.517501,279.0,0.03035749,0.0,0.0,5.4700002,0.64524803,11.15,0.8751222,-0.21,6.2055234,0.055757432,0.023897949,0.0
ARNT,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2370.0,0.0,0.0,0.0,0.5,0.0,1.0,0.5,0.0,1.0,0.237312944,0.9435,0.0,1.0,2.0,0.41963911,1.0,0.636132316,0.923885938,20.76942545,188.0,0.03341297,0.000220617,42.0,1.36,0.19112,3.1133333,0.25396233,-1.27,0.025992,0.395326405,0.023897949,0.0
ATAD3B,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1947.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.65746358,0.156,0.0,1.0,1.0,1.0,1.0,0.893655049,0.994133538,20.70933039,248.0,0.02688662,5.19e-05,36.0,1.0957763,2.367219142,5.342891263,0.873356777,-11.10881068,6.225359422,0.395326405,0.023897949,0.0
ATF3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,546.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.871115187,0.008,0.0,1.0,1.0,1.0,1.0,0.473036897,0.82714375,18.674214,224.0,0.02153846,9.27e-05,49.0,1.99,0.0578,1.99,0.0578,-11.0368975,6.2055234,0.395326405,0.023897949,0.0
ATP1A4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3090.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.288043771,0.946,0.0,1.0,1.0,0.264760392,1.0,0.486618005,0.837117201,19.68278426,386.0,0.02907324,1.02e-05,5.0,3.27,0.24360197,6.76,0.8751222,-0.22,6.2055234,1.661416258,0.023897949,0.0
