Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
AADACL3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1224.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.020476362,0.0,0.0,2.0,2.0,0.164934851,1.0,0.31377471,0.677464711,17.14990586,454.0,0.02278783,0.0,0.0,-2.3025,0.52138227,1.915,0.020604502,-6.52,0.8320501,0.455897627,0.012331058,0.0
ABCA4,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,6822.0,0.0,0.166666667,0.0,0.666666667,0.0,1.0,0.166666667,0.0,0.871049064,0.661470762,0.707833333,0.0,4.0,6.0,0.901713255,1.0,0.795544948,0.977508297,18.9671404,370.0,-0.001895926,0.0,1.0,-7.668182,1.5611834,3.24,0.18727201,-10.092223,1.5644945,0.928782451,0.00021151,0.0
ACADM,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1278.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.573210647,0.065,0.0,1.0,1.0,0.908265213,1.0,0.134246208,0.403823304,17.22066078,578.0,-0.01324586,8.21e-05,49.0,-27.594998,15.351339,0.11,0.4999598,-55.3,0.56492654,0.021467869,0.012331058,0.0
ACTA1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1134.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.285007271,0.8435,0.0,2.0,2.0,0.616522811,1.0,0.242072137,0.585456187,17.89300046,361.0,0.02946144,0.00107713,109.0,3.1975,0.41329158,6.465,0.8128124,-0.07,0.0,0.842538651,0.008424422,0.0
ADAMTS4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2514.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.384025098,0.7595,0.0,2.0,2.0,0.964320154,1.0,0.024395004,0.114982849,19.47490409,234.0,0.03749509,1.26e-06,3.0,11.7225,2.572982,15.653333,2.9323861,-0.07,0.56492654,0.670721545,0.0044834,0.0
ADAMTSL4,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,3225.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.791327359,0.5554,0.0,5.0,5.0,0.79491256,1.0,0.218627022,0.551024944,20.49291817,152.0,0.03127347,0.000588745,107.0,6.001,0.5872388,7.51875,0.623389,-0.07,0.0,0.455897627,0.012331058,0.0
ADCY10,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,4833.0,0.0,0.142857143,0.0,0.857142857,0.0,1.0,0.0,0.0,1.0,0.946086126,0.572285714,0.0,6.0,7.0,0.079624174,1.0,0.637755102,0.924617935,19.02812919,238.0,0.01328722,0.0,0.0,5.545,0.4305024,9.75625,0.32658111,-0.07,0.0,0.455897627,0.012331058,0.0
ADSS,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1371.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.312575752,0.251,0.0,1.0,1.0,0.326797386,1.0,0.710732054,0.953418463,19.43763871,534.0,0.002229515,4.51e-05,40.0,6.385,0.8333405,12.84,0.4999598,-0.07,0.56492654,0.455897627,0.012331058,0.0
AGBL4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1512.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.251987499,0.929,0.0,1.0,1.0,0.231696015,1.0,0.100583384,0.331600101,14.00870785,1041.0,-0.01843567,0.0,0.0,5.4899998,0.6272,11.09,0.4999598,-0.11,0.56492654,0.455897627,0.012331058,0.0
AGL,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4599.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.963316481,0.303,0.0,3.0,3.0,0.728862974,1.0,0.183486239,0.494608369,18.14422207,595.0,0.008860483,0.000157151,47.0,-12.783334,3.8630985,0.13,0.4999598,-15.366,4.3286107,0.061588582,2.83e-06,0.0
