Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
ACOT11,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1824.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.789085827,0.444,0.0,1.0,1.0,0.956937799,1.0,0.259403372,0.609434762,19.39207777,415.0,0.01756964,7.68e-08,4.0,4.025,0.33702047,8.13,1.664801,-0.08,1.8877992,0.051009276,0.014649858,0.0
ADAMTS4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2514.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.775957313,0.193,0.0,1.0,1.0,0.964320154,1.0,0.024395004,0.114982849,19.47490409,234.0,0.03749509,1.26e-06,3.0,26.245,13.849585,52.56,1.664801,-0.07,1.8877992,0.826199813,0.014649858,0.0
ADCK3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1944.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.257318631,0.883,0.0,1.0,1.0,0.538502962,1.0,0.747943156,0.965167014,18.64932495,481.0,0.004611321,0.000125982,13.0,40.59,32.497925,40.59,32.497925,-7.827996,1.8877992,0.402760158,0.014649858,0.0
AGRN,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6138.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.545025519,0.166,0.0,2.0,2.0,0.677506775,1.0,0.201207243,0.52382693,20.91084399,239.0,0.01491109,9.33e-06,10.0,2.158934305,2.455150202,7.940254047,1.646708684,-7.913068123,1.897903466,0.402760158,0.014649858,0.0
AK2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,720.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.246885834,0.891,0.0,1.0,1.0,0.364963504,1.0,0.355366027,0.723030191,19.62316705,233.0,0.02683501,5.09e-05,31.0,3.195,0.18301249,3.195,0.18301249,-7.827996,1.8877992,0.060126537,0.014649858,0.0
AKT3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1440.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.257318631,0.917,0.0,1.0,1.0,0.558347292,1.0,0.667111408,0.937156917,17.67265876,954.0,-0.003878738,1.18e-05,12.0,5.405,0.5671125,5.405,0.5671125,-7.827996,1.8877992,1.032607105,0.014649858,0.0
ALDH9A1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1557.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.620954008,0.752,0.0,1.0,1.0,0.239578342,1.0,0.831255195,0.984886481,18.29594288,408.0,-0.000384573,4.42e-06,14.0,7.4899994,1.0025279,7.4899994,1.0025279,-7.827996,1.8877992,0.105042043,0.014649858,0.0
ANKRD34A,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1491.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.451676893,0.75,0.0,1.0,1.0,0.762776506,1.0,0.630914826,0.921504358,19.27447186,462.1704609,0.01875013,0.0,0.0,0.4,0.0008,0.4,0.0008,-7.827996,1.8877992,0.402760158,0.014649858,0.0
ANKRD35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3006.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.318932605,0.767,0.0,1.0,1.0,0.961538462,1.0,0.096311278,0.321696027,19.27447186,462.1704609,0.01875013,0.0,1.0,-8.23,1.351368,8.046695,1.664801,-8.23,1.351368,0.508544223,0.014649858,0.0
AP4B1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2220.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.281287165,0.693,0.0,1.0,1.0,0.946969697,1.0,0.824402308,0.983591616,18.35479432,545.0,0.01264193,4.62e-07,4.0,-4.535,0.25276048,8.046695,1.664801,-4.535,0.25276048,0.064829479,0.014649858,0.0
ARHGAP29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3786.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.205857106,0.068,0.0,1.0,1.0,0.776397516,1.0,0.06759954,0.249723119,18.83041524,327.0,-0.008548422,1.12e-05,9.0,-27.065,14.563803,8.046695,1.664801,-27.065,14.563803,0.402760158,0.014649858,0.0
ARHGAP30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3306.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.341296928,1.0,0.625782228,0.919119429,19.39421376,250.0,0.02271094,0.0,0.0,-1.225,0.0280845,8.046695,1.664801,-1.225,0.0280845,0.402760158,0.014649858,0.0
ARHGEF2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2961.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.496389215,0.28,0.0,1.0,1.0,0.099890121,1.0,0.938967136,0.998098403,20.84267183,213.0,0.0321663,7.34e-05,42.0,14.825001,4.3483008,14.825001,4.3483008,-7.827996,1.8877992,0.152077654,0.014649858,0.0
ASH1L,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8895.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.353731871,0.718760303,0.329706561,0.578178936,20.90288219,247.0,0.03315029,1.46e-07,5.0,-0.16500001,0.0028125,0.21,1.664801,-0.54,1.8877992,0.038294417,0.014649858,0.0
ASPM,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10434.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.394467138,0.839,0.0,1.0,1.0,0.983284169,1.0,0.288350634,0.646937157,17.75875999,614.0,-0.02455929,4.44e-05,20.0,1.045,0.024864502,2.16,1.664801,-0.07,1.8877992,0.086848571,0.014649858,0.0
ASTN1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3885.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.964443061,0.128,0.0,1.0,1.0,0.490677134,1.0,0.255362615,0.603950645,12.67655899,940.0,-0.009137709,0.0,0.0,-0.44,0.001458,8.046695,1.664801,-0.44,0.001458,0.402760158,0.014649858,0.0
ATP1A4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3090.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.027663876,0.365,0.0,1.0,1.0,0.264760392,1.0,0.486618005,0.837117201,19.68278426,386.0,0.02907324,1.02e-05,5.0,8.3,1.38112195,16.61,1.664801,-0.01,1.8877992,1.550803344,0.014649858,0.0
