Hugo_Symbol	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	Silent	Splice_Site	Translation_Start_Site	DEL	INS	SNP	pnum	gene length	silent	nonsense	splice site	missense	recurrent missense	normalized missense position entropy	frameshift indel	inframe indel	normalized mutation entropy	Mean Missense MGAEntropy	Mean VEST Score	lost start and stop	missense to silent	non-silent to silent	inactivating p-value	entropy p-value	vest p-value	combined p-value	expression_CCLE	replication_time	HiC_compartment	gene_betweeness	gene_degree	all_mean	all_var	up_mean	up_var	down_mean	down_var	dnam_mean	dnam_var	class
BCKDHB	4	2	0	0	49	5	0	0	5	0	4	2	59	64	1179	0.272727273	0.045454545	0.136363636	0.545454545	0	1	0	0	0.918456791	0.392898806	0.567	0	1.714285714	2.285714286	0.036331928	1	0.802568218	0.979083804	16.99953213	869	-0.009430923	4.66E-06	3	-3.0654615	2.5387987	3.0672727	1.1374457	-11.975283	3.269714	0.005623869	0.087042525	0
CANT1	3	0	0	0	63	6	1	0	0	0	3	0	70	70	1206	0.411764706	0.058823529	0	0.529411765	0	1	0	0	0.976875102	0.671640485	0.382764706	0	1.2	1.333333333	0.468164794	1	0.51203277	0.854770431	19.22484016	177	0.02167601	1.61E-05	9	4.1282482	1.7919153	7.5514734	1.9846175	-3.614762	0.50812494	0.007041662	0.136451863	1
MAP2K2	3	1	1	0	66	4	0	0	1	0	4	2	70	71	1203	0.166666667	0.055555556	0	0.722222222	0.166666667	0.901157537	0	0.055555556	0.936651039	0.606506121	0.496777778	0	3.25	3.75	0.630517024	0.0034	0.47005	0.011888621	21.11842469	180	0.03569998	4.85E-05	29	0.006466681	1.9160204	5.1534567	1.1255617	-6.035652	2.188147	0.029671345	2.423068147	1
CASP4	5	3	0	0	76	4	0	0	6	0	5	3	86	79	1134	0.285714286	0	0.035714286	0.642857143	0	1	0.035714286	0	0.955425443	1.244611401	0.238714286	0	2	2.222222222	0.901713255	1	0.751879699	0.966299957	15.46512984	626	-0.02041726	0.000185138	32	-1.2659016	3.4758303	4.384	3.1784326	-8.871538	2.9013898	0.01914229	1.011022875	0
KIAA1671	2	0	0	0	16	0	0	0	0	0	2	0	16	17	5421	0.333333333	0	0	0.666666667	0	1	0	0	0.929896694	0.800335705	0.281555556	0	1.5	1.5	1	1	0.071387778	0.259825	19.31298702	442.7397812	0.020143467	4.00E-06	10	-1.0499999	1.0912162	2.0947369	0.2705694	-4.194737	1.7637106	0.054151754	17.69473854	0
TAS2R7	1	0	1	0	63	4	1	0	0	0	2	0	68	65	957	0.416666667	0	0	0.5	0	1	0.041666667	0.041666667	0.981824642	0.941623619	0.326375	0	1.090909091	1.272727273	1	1	0.154368632	0.44279281	18.63883325	517	0.01207853	7.87E-06	13	3.85741	1.778335	7.248316	1.9896112	-3.4638636	0.55532493	0.054151754	17.69473854	0
ITK	4	1	0	0	163	13	0	0	6	0	4	1	182	164	1863	0.277108434	0.012048193	0.012048193	0.686746988	0.072289157	0.971396999	0.012048193	0	0.961701796	0.619978868	0.446060241	0	2.375	2.5	0.994035785	0.323240166	0.258799172	0.291205811	18.02607653	1180	0.03006901	2.48E-05	29	-1.7458538	2.128791	4.1739535	1.0987443	-10.0105196	2.4034627	0.131059707	47.26216057	1
IQCB1	0	0	0	0	75	11	0	0	7	0	0	0	93	84	1797	0.090909091	0.060606061	0	0.848484848	0	1	0	0	0.987985463	0.879170089	0.386575758	0	7	7.5	0.946969697	1	0.236406619	0.577352717	18.50174624	520	0.03150803	0.001955905	202	5.084837	1.9727955	7.171064	2.3342049	-1.7560465	0.18983549	0.054151754	17.69473854	0
WBSCR16	1	0	0	0	24	2	0	0	1	0	1	0	27	25	1395	0	0	0	1	0	1	0	0	0.827729377	0.752729256	0.5104	0	5	5	1	1	0.072759022	0.263431488	19.48502777	220	0.05015006	5.68E-06	9	3.999818	1.9037677	6.686757	2.55911	-1.5233333	0.14784071	0.005734696	0.090506459	0
PRKAB2	1	0	1	0	43	3	0	0	2	0	2	0	48	44	819	0.375	0.125	0.125	0.375	0	1	0	0	0.875	0.428578818	0.5093125	0	0.857142857	1.428571429	0.060110604	1	0.838222967	0.986145133	18.80437275	737	0.03257338	0.000589736	94	2.1703571	1.753972	5.1677193	2.0761782	-4.1574076	0.5146826	0.013241432	0.48248195	0
