Hugo_Symbol,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,Silent,Splice_Site,Translation_Start_Site,DEL,INS,SNP,pnum,gene length,silent,nonsense,splice site,missense,recurrent missense,normalized missense position entropy,frameshift indel,inframe indel,normalized mutation entropy,Mean Missense MGAEntropy,Mean VEST Score,lost start and stop,missense to silent,non-silent to silent,inactivating p-value,entropy p-value,vest p-value,combined p-value,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,class
AADACL4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1224.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.207418113,0.178,0.0,2.0,2.0,0.760456274,1.0,0.799360512,0.978371888,17.14990586,454.0,0.02278783,0.0,0.0,-16.7025,10.18604,0.11499999,0.0001805,-33.519998,19.244808,0.499140332,0.03177677,0.0
ABCA4,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,6822.0,0.0,0.142857143,0.0,0.857142857,0.0,1.0,0.0,0.0,1.0,0.89947321,0.587714286,0.0,6.0,7.0,0.901713255,1.0,0.795544948,0.977508297,18.9671404,370.0,-0.001895926,0.0,1.0,9.521334,2.6431048,11.016154,2.902044,-0.195,0.0003125,0.885834526,0.01017684,0.0
ABCB10,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2217.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.259347292,0.847,0.0,3.0,3.0,0.876424189,1.0,0.00299,0.020369321,17.96480563,277.0,0.02002447,2.8e-05,12.0,4.0916666,0.85453335,5.828,0.8420527,-4.59,1.6929798,0.03321012,1.11e-05,0.0
ABL2,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3549.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.404391446,0.736,0.0,4.0,4.0,0.238435861,1.0,0.412541254,0.777813147,18.3253933,301.0,0.005576853,0.000133221,35.0,8.678182,2.2894917,14.237143,2.8174428,-1.05,0.013872,0.945480606,0.000134434,0.0
ACBD3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1587.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.59311981,1.0,0.00494,0.031173326,19.52879041,214.0,0.02416004,0.000141362,24.0,13.55,3.661218,13.55,3.661218,-5.918173,1.6929798,0.112545968,0.03177677,0.0
ACOT11,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1824.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.88989607,0.476666667,0.0,3.0,3.0,0.956937799,1.0,0.259403372,0.609434762,19.39207777,415.0,0.01756964,7.68e-08,4.0,10.6983334,4.1879427,16.752501,5.5058666,-1.41,0.023762001,0.068135011,0.000588086,0.0
ACTL8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1101.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.965255469,0.27,0.0,1.0,1.0,0.138217001,1.0,0.223613596,0.55855003,17.93135099,416.0,0.02650356,0.0,1.0,-47.883335,17.717461,0.39,1.3632956,-72.02,0.4802005,0.499140332,0.03177677,0.0
ACTRT2,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1134.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.512543626,0.8045,0.0,2.0,2.0,0.526038927,1.0,0.301386377,0.662857803,18.23261439,634.0,0.01910433,0.0,0.0,1.08895389,1.680799516,4.586963914,1.370263209,-5.872425767,1.685670017,0.499140332,0.03177677,0.0
ADAM15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2592.0,0.0,0.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.643843444,0.648,0.0,1.0,2.0,0.745712155,1.0,0.417014178,0.781749398,20.69431707,214.0,0.04370952,7.29e-05,31.0,6.12,0.5724067,6.12,0.5724067,-5.918173,1.6929798,0.129180865,0.013083198,0.0
ADAM30,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2373.0,0.0,0.333333333,0.0,0.333333333,0.0,1.0,0.333333333,0.0,0.579380164,2.564906325,0.690333333,0.0,1.0,3.0,0.259201659,1.0,0.744047619,0.964025478,18.57346302,560.0,0.009313993,0.0,0.0,6.1783332,0.6031722,6.1783332,0.6031722,-5.918173,1.6929798,1.48754736,0.065777179,0.0
